date,ret
2010-01-05,-0.0027181095410496736
2010-01-06,0.0004095278901929955
2010-01-07,-0.0024808412284270664
2010-01-08,0.0030318838571734563
2010-01-11,0.0004786888825538682
2010-01-12,-0.016141047926496177
2010-01-13,0.003388883849697155
2010-01-14,0.004316475129479969
2010-01-15,-0.01885321966346154
2010-01-18,0.007246393069894497
2010-01-19,0.009787900362918212
2010-01-20,-0.020906988013151495
2010-01-21,-0.017868758111381333
2010-01-22,-0.008987412270137218
2010-01-25,-0.011228466355710287
2010-01-26,0.006669790443912138
2010-01-27,-0.004538771808951458
2010-01-28,-0.018229039131546054
2010-01-29,0.01235665745039305
2010-02-01,0.008146131534259915
2010-02-02,0.009758664982783438
2010-02-03,-0.006580131123719135
2010-02-04,-0.024479444649135207
2010-02-05,-0.017873865300585656
2010-02-08,0.009294643941773595
2010-02-09,0.002444855872083096
2010-02-10,0.006931347951358191
2010-02-11,-0.005859424265285518
2010-02-12,-0.0006431838612482865
2010-02-15,0.0019471275075568784
2010-02-16,0.014701242600493769
2010-02-17,0.01005338322217142
2010-02-18,0.0056778298379984715
2010-02-19,0.007330394688433772
2010-02-22,-0.0058737453235231385
2010-02-23,-0.014831855140698291
2010-02-24,0.0020413631102187413
2010-02-25,-0.014812490935227185
2010-02-26,0.011953350916999561
2010-03-01,0.0205502594446052
2010-03-02,0.011035299764093898
2010-03-03,0.0071530156009160795
2010-03-04,-0.003877711305178
2010-03-05,0.014156257385425697
2010-03-08,-0.00024665956568481473
2010-03-09,0.0016984569544744588
2010-03-10,0.008635920301654831
2010-03-11,-0.0013627612113202847
2010-03-12,0.002779728334286302
2010-03-15,-0.006988904434571341
2010-03-16,0.01142195135003199
2010-03-17,0.00892474257861986
2010-03-18,-0.0019869141190941297
2010-03-19,-0.004969784079879691
2010-03-22,0.0008474523011190449
2010-03-23,0.004972028314196297
2010-03-24,0.0036112689638685413
2010-03-25,0.015557243800712106
2010-03-26,-0.002103455957437883
2010-03-29,0.006013070831639933
2010-03-30,-0.0023388424462749136
2010-03-31,0.0018070328650723333
2010-04-01,0.013327308059451815
2010-04-06,0.002670153472550396
2010-04-07,-0.0047662834219712735
2010-04-08,-0.00812869561068641
2010-04-09,0.012617022212503493
2010-04-12,0.0001583669716656022
2010-04-13,-0.0031772273888828195
2010-04-14,0.007634588589690017
2010-04-15,0.0020786017411662527
2010-04-16,-0.017571512057922067
2010-04-19,-0.002986613798825699
2010-04-20,0.016517814377152717
2010-04-21,-0.0054037124693364635
2010-04-22,-0.009896614512840185
2010-04-23,0.01472097406751982
2010-04-26,0.011593572519151829
2010-04-27,-0.027256412464978563
2010-04-28,-0.01220388062285549
2010-04-29,0.009955116587088586
2010-04-30,-0.0014987950520534143
2010-05-03,0.005088209261976395
2010-05-04,-0.025954619262363532
2010-05-05,-0.008059063981943115
2010-05-06,-0.008423403408991281
2010-05-07,-0.032694893172924955
2010-05-10,0.052986098342996835
2010-05-11,0.0032901462756032007
2010-05-12,0.02414496131491295
2010-05-13,0.011074648438524015
2010-05-14,-0.031231795289531794
2010-05-17,0.0016857272353056896
2010-05-18,0.014671407411413595
2010-05-19,-0.02717058984266707
2010-05-20,-0.020169760671111092
2010-05-21,-0.006583277705743407
2010-05-24,-0.0040433716548011756
2010-05-25,-0.02336334979053467
2010-05-26,0.015516641833678735
2010-05-27,0.031107935814728593
2010-05-28,0.0015226251788451606
2010-05-31,0.003052363333636343
2010-06-01,0.002840208570679126
2010-06-02,-1.1673811501911047e-05
2010-06-03,0.012276747994081072
2010-06-04,-0.0191176012803993
2010-06-07,-0.0057131459415764585
2010-06-08,-0.00616438571385336
2010-06-09,0.019800495723779177
2010-06-10,0.012003816993191085
2010-06-11,-0.0014463197692079488
2010-06-14,0.012759935526979183
2010-06-15,0.008171396683673393
2010-06-16,0.0025684572698443375
2010-06-17,0.005270611588436447
2010-06-18,-0.0010540718871534516
2010-06-21,0.012223014166642177
2010-06-22,-0.0038026837827396243
2010-06-23,-0.010291849968930622
2010-06-24,-0.014350834356599784
2010-06-25,-0.007338734319437656
2010-06-28,0.014268789871522358
2010-06-29,-0.0333251731345956
2010-06-30,0.0022664930892388746
2010-07-01,-0.018119098317684212
2010-07-02,-0.003974485864766564
2010-07-05,-0.0030766619527617944
2010-07-06,0.021453832565257125
2010-07-07,0.008732546311055911
2010-07-08,0.007141881162780139
2010-07-09,0.004900885298250168
