Date,SPY
2000-01-03,91.13276672363281
2000-01-04,87.56889343261719
2000-01-05,87.72559356689453
2000-01-06,86.31568145751953
2000-01-07,91.32855987548828
2000-01-10,91.64189910888672
2000-01-11,90.54533386230469
2000-01-12,89.64459991455078
2000-01-13,90.85860443115234
2000-01-14,92.09229278564453
2000-01-18,91.36774444580078
2000-01-19,92.1118392944336
2000-01-20,90.7019271850586
2000-01-21,90.50611877441406
2000-01-24,87.9409408569336
2000-01-25,88.9395980834961
2000-01-26,88.23470306396484
2000-01-27,87.8821792602539
2000-01-28,85.14080047607422
2000-01-31,87.45142364501953
2000-02-01,88.31300354003906
2000-02-02,88.391357421875
2000-02-03,89.72286987304688
2000-02-04,89.35082244873047
2000-02-07,89.21379089355469
2000-02-08,90.42781829833984
2000-02-09,88.52838134765625
2000-02-10,88.70466613769531
2000-02-11,86.90312957763672
2000-02-14,87.41227722167969
2000-02-15,88.40113067626953
2000-02-16,87.09892272949219
2000-02-17,86.64854431152344
2000-02-18,84.78836059570312
2000-02-22,84.57292175292969
2000-02-23,85.57160949707031
2000-02-24,83.848388671875
2000-02-25,83.54491424560547
2000-02-28,85.29740905761719
2000-02-29,86.1198501586914
2000-03-01,86.74644470214844
2000-03-02,86.80522155761719
2000-03-03,88.43052673339844
2000-03-06,87.56889343261719
2000-03-07,85.87506103515625
2000-03-08,85.76741790771484
2000-03-09,88.27384185791016
2000-03-10,87.80388641357422
2000-03-13,86.84435272216797
2000-03-14,85.61073303222656
2000-03-15,87.60804748535156
2000-03-16,91.70065307617188
2000-03-17,92.30668640136719
2000-03-20,91.83554077148438
2000-03-21,93.72010803222656
2000-03-22,94.28941345214844
2000-03-23,95.89921569824219
2000-03-24,96.46846771240234
2000-03-27,95.44766998291016
2000-03-28,94.89797973632812
2000-03-29,94.99616241455078
2000-03-30,93.40605163574219
2000-03-31,94.46612548828125
2000-04-03,95.01576232910156
2000-04-04,94.30909729003906
2000-04-05,93.72010803222656
2000-04-06,94.53485107421875
2000-04-07,95.133544921875
2000-04-10,94.76055908203125
2000-04-11,94.48576354980469
2000-04-12,91.89443969726562
2000-04-13,90.6183853149414
2000-04-14,85.43571472167969
2000-04-17,88.41967010498047
2000-04-18,90.75581359863281
2000-04-19,89.91165924072266
2000-04-20,90.34357452392578
2000-04-24,89.3619613647461
2000-04-25,93.07229614257812
2000-04-26,92.02204132080078
