Date,AGG,SPY,TLT
2000-01-03,,91.13275909423828,
2000-01-04,,87.56890106201172,
2000-01-05,,87.7255630493164,
2000-01-06,,86.31568908691406,
2000-01-07,,91.32854461669922,
2000-01-10,,91.64186096191406,
2000-01-11,,90.54532623291016,
2000-01-12,,89.64456176757812,
2000-01-13,,90.85863494873047,
2000-01-14,,92.09223175048828,
2000-01-18,,91.36773681640625,
2000-01-19,,92.11182403564453,
2000-01-20,,90.70195007324219,
2000-01-21,,90.5061264038086,
2000-01-24,,87.94095611572266,
2000-01-25,,88.93962860107422,
2000-01-26,,88.2346420288086,
2000-01-27,,87.88219451904297,
2000-01-28,,85.14079284667969,
2000-01-31,,87.451416015625,
2000-02-01,,88.3130111694336,
2000-02-02,,88.39134216308594,
2000-02-03,,89.72281646728516,
2000-02-04,,89.35086822509766,
2000-02-07,,89.21376037597656,
2000-02-08,,90.42776489257812,
2000-02-09,,88.52841186523438,
2000-02-10,,88.70460510253906,
2000-02-11,,86.90310668945312,
2000-02-14,,87.4122543334961,
2000-02-15,,88.40108489990234,
2000-02-16,,87.09896087646484,
2000-02-17,,86.6485595703125,
2000-02-18,,84.7883071899414,
2000-02-22,,84.57292175292969,
2000-02-23,,85.57159423828125,
2000-02-24,,83.84839630126953,
2000-02-25,,83.5449447631836,
2000-02-28,,85.29740142822266,
2000-02-29,,86.1198959350586,
2000-03-01,,86.74649810791016,
2000-03-02,,86.80522155761719,
2000-03-03,,88.43051147460938,
2000-03-06,,87.56890106201172,
2000-03-07,,85.8750991821289,
2000-03-08,,85.76738739013672,
2000-03-09,,88.27386474609375,
2000-03-10,,87.80389404296875,
2000-03-13,,86.84436798095703,
2000-03-14,,85.61070251464844,
2000-03-15,,87.60807037353516,
2000-03-16,,91.70060729980469,
2000-03-17,,92.30668640136719,
2000-03-20,,91.83553314208984,
2000-03-21,,93.72013854980469,
2000-03-22,,94.28942108154297,
2000-03-23,,95.89920043945312,
2000-03-24,,96.46856689453125,
2000-03-27,,95.44771575927734,
2000-03-28,,94.89801788330078,
2000-03-29,,94.99617004394531,
2000-03-30,,93.4060287475586,
2000-03-31,,94.46614074707031,
2000-04-03,,95.01588439941406,
2000-04-04,,94.30907440185547,
2000-04-05,,93.72013854980469,
2000-04-06,,94.53482818603516,
2000-04-07,,95.13357543945312,
2000-04-10,,94.76060485839844,
2000-04-11,,94.48575592041016,
2000-04-12,,91.89440155029297,
2000-04-13,,90.61843872070312,
2000-04-14,,85.43567657470703,
2000-04-17,,88.419677734375,
2000-04-18,,90.75581359863281,
2000-04-19,,89.91165924072266,
2000-04-20,,90.34352111816406,
2000-04-24,,89.36194610595703,
2000-04-25,,93.0722885131836,
2000-04-26,,92.02200317382812,
2000-04-27,,91.71772003173828,
2000-04-28,,91.14844512939453,
2000-05-01,,92.38518524169922,
2000-05-02,,90.5398178100586,
2000-05-03,,88.419677734375,
2000-05-04,,89.087158203125,
2000-05-05,,90.16688537597656,
2000-05-08,,89.48955535888672,
2000-05-09,,88.7730484008789,
2000-05-10,,86.77064514160156,
2000-05-11,,88.75341796875,
