Date,IEF,SHY,TLT
2021-12-01,100.62396240234375,74.69959259033203,129.1978759765625
2021-12-02,100.40693664550781,74.60382080078125,129.3589630126953
2021-12-03,100.99716186523438,74.64730834960938,130.90249633789062
2021-12-06,100.4937515258789,74.58638763427734,129.10455322265625
2021-12-07,100.11182403564453,74.49055480957031,128.06141662597656
2021-12-08,99.79068756103516,74.51667785644531,125.84791564941406
2021-12-09,100.04242706298828,74.49055480957031,126.55180358886719
2021-12-10,100.11182403564453,74.52538299560547,126.2465591430664
2021-12-13,100.58920288085938,74.56893157958984,128.11228942871094
2021-12-14,100.41561126708984,74.52538299560547,127.80695343017578
2021-12-15,100.26803588867188,74.55152893066406,126.57727813720703
2021-12-16,100.55999755859375,74.61077117919922,126.6264877319336
2021-12-17,100.78588104248047,74.5759048461914,128.06138610839844
2021-12-20,100.698974609375,74.59332275390625,127.10195922851562
2021-12-21,100.29934692382812,74.54975891113281,126.61797332763672
2021-12-22,100.39492797851562,74.54109191894531,127.20387268066406
2021-12-23,100.18641662597656,74.5323486328125,126.1000747680664
2021-12-27,100.22115325927734,74.50618743896484,126.40572357177734
2021-12-28,100.20378875732422,74.50618743896484,125.90480041503906
2021-12-29,99.69121551513672,74.49749755859375,124.5293197631836
2021-12-30,100.0213623046875,74.54109191894531,125.57369232177734
2021-12-31,99.90839385986328,74.5323486328125,125.81995391845703
2022-01-03,98.97879028320312,74.4452133178711,122.51713562011719
2022-01-04,98.92668151855469,74.48877716064453,122.0076904296875
2022-01-05,98.50970458984375,74.3929214477539,121.3454360961914
2022-01-06,98.26644134521484,74.33196258544922,121.65959930419922
2022-01-07,97.94497680664062,74.31452178955078,120.7850570678711
2022-01-10,97.91895294189453,74.27096557617188,121.0822525024414
2022-01-11,98.1534652709961,74.29707336425781,121.88882446289062
2022-01-12,98.17086791992188,74.27096557617188,121.42185974121094
2022-01-13,98.483642578125,74.3058090209961,122.50016784667969
2022-01-14,97.80598449707031,74.20995330810547,120.64924621582031
2022-01-18,97.06752014160156,74.09671783447266,118.95115661621094
2022-01-19,97.30207824707031,74.13155364990234,119.77472686767578
