Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-06-21,19.38507652282715,,22.740514755249023,15.439105033874512,47.31668472290039,19.592512130737305,41.11909484863281,23.068439483642578,18.375463485717773,59.43087387084961,35.35144805908203
2016-06-22,19.405553817749023,,22.613937377929688,15.425600051879883,47.18198776245117,19.525001525878906,41.14204025268555,23.047121047973633,18.288015365600586,59.60005187988281,35.3018684387207
2016-06-23,19.704479217529297,,22.987009048461914,15.749646186828613,47.7292366027832,19.790552139282227,41.39435958862305,23.146615982055664,18.339025497436523,60.37823486328125,35.64885711669922
2016-06-24,18.84455680847168,,22.24420166015625,14.905789375305176,45.78437423706055,19.0299015045166,40.59919357299805,22.855239868164062,18.368179321289062,58.62728500366211,34.32401657104492
2016-06-27,18.209857940673828,,21.5313720703125,14.480488777160645,44.70668411254883,18.64731788635254,40.51508331298828,22.819705963134766,18.594087600708008,57.84061813354492,33.69314193725586
2016-06-28,18.365459442138672,,22.130952835083008,14.851784706115723,45.46444320678711,19.016399383544922,40.767391204833984,23.239004135131836,18.6633243560791,58.96565246582031,34.36458206176758
2016-06-29,18.67667007446289,,22.55065155029297,15.18932819366455,46.27268981933594,19.308958053588867,41.241432189941406,23.67961883544922,18.714332580566406,60.090641021728516,34.9188346862793
2016-06-30,18.97559356689453,,22.730518341064453,15.432353019714355,47.15671920776367,19.520496368408203,42.166587829589844,23.87150764465332,19.11878776550293,60.65736389160156,35.175682067871094
2016-07-01,18.983776092529297,,22.850431442260742,15.351351737976074,47.30826187133789,19.565507888793945,41.967803955078125,23.857288360595703,19.122434616088867,61.038028717041016,35.54070281982422
2016-07-05,18.639812469482422,,22.39076805114746,15.121818542480469,46.878875732421875,19.421480178833008,42.20481491088867,24.03139877319336,19.264537811279297,60.97880172729492,35.25230026245117
2016-07-06,18.713523864746094,,22.48736572265625,15.162323951721191,47.114627838134766,19.556507110595703,42.2430419921875,23.999422073364258,19.30462074279785,61.663963317871094,35.55421829223633
2016-07-07,18.76265525817871,,22.257524490356445,15.182570457458496,47.24092102050781,19.556507110595703,42.158939361572266,23.700939178466797,18.947528839111328,61.57090759277344,35.70741653442383
