Date,GLD,SPY,TLT,VEA,VNQ,VWO
2015-01-02,114.08000183105469,169.68788146972656,92.65928649902344,26.784610748291016,52.09075164794922,28.610429763793945
2015-01-05,115.80000305175781,166.6233673095703,94.11482238769531,26.187652587890625,52.3758544921875,28.15481185913086
2015-01-06,117.12000274658203,165.05393981933594,95.81050109863281,25.896286010742188,52.89537048339844,28.017398834228516
2015-01-07,116.43000030517578,167.11068725585938,95.62127685546875,26.17344856262207,53.7062873840332,28.661060333251953
2015-01-08,115.94000244140625,170.07603454589844,94.35496520996094,26.571409225463867,53.90902328491211,29.14560317993164
2015-01-09,117.26000213623047,168.7130889892578,95.38843536376953,26.44348907470703,53.93436813354492,29.000978469848633
2015-01-12,118.55999755859375,167.39151000976562,95.93421173095703,26.41506004333496,54.346187591552734,28.740617752075195
2015-01-13,118.16000366210938,166.9207305908203,95.93421173095703,26.542987823486328,54.26382064819336,28.943111419677734
2015-01-14,117.97000122070312,165.9129638671875,96.66197967529297,26.4719181060791,54.732643127441406,28.834632873535156
2015-01-15,120.94000244140625,164.39308166503906,98.1830825805664,26.621158599853516,54.85934829711914,28.921424865722656
2015-01-16,122.5199966430664,166.54901123046875,96.93123626708984,26.912525177001953,55.334537506103516,29.210695266723633
2015-01-20,124.19999694824219,166.9041748046875,98.2193832397461,27.03334617614746,54.89738464355469,29.10944938659668
2015-01-21,124.2300033569336,167.74673461914062,97.08409118652344,27.232324600219727,54.85934829711914,29.760343551635742
2015-01-22,125.2300033569336,170.24127197265625,96.73480987548828,27.331817626953125,55.83504867553711,30.38954734802246
2015-01-23,124.2300033569336,169.30789184570312,98.08120727539062,27.168371200561523,55.6766471862793,30.129188537597656
2015-01-26,122.98999786376953,169.70436096191406,97.78275299072266,27.530803680419922,56.14548873901367,30.165346145629883
2015-01-27,124.4000015258789,167.46591186523438,97.93560028076172,27.5521183013916,56.16448974609375,30.006240844726562
2015-01-28,123.41999816894531,165.31826782226562,99.53668212890625,27.18968963623047,55.79069900512695,29.651859283447266
2015-01-29,120.76000213623047,166.84637451171875,98.88164520263672,27.559219360351562,55.987083435058594,29.6807861328125
2015-01-30,123.44999694824219,164.748291015625,100.63555145263672,27.11151695251465,54.834041595458984,28.885255813598633
2015-02-02,122.41999816894531,166.78855895996094,100.25566101074219,27.466846466064453,54.688297271728516,29.398738861083984
2015-02-03,121.05000305175781,169.20053100585938,98.13359069824219,27.857698440551758,55.16348648071289,29.91945457458496
2015-02-04,121.58000183105469,168.55616760253906,98.30133819580078,27.65871810913086,54.93540573120117,29.716951370239258
2015-02-05,121.79000091552734,170.25782775878906,97.22209930419922,27.950088500976562,55.594295501708984,29.9411563873291
2015-02-06,118.63999938964844,169.7869873046875,95.50102233886719,27.616077423095703,53.97872543334961,29.449356079101562
2015-02-09,119.16999816894531,169.0270233154297,95.34794616699219,27.488157272338867,53.59859085083008,29.413192749023438
2015-02-10,118.47000122070312,170.8277587890625,94.58951568603516,27.722675323486328,53.7696647644043,29.362581253051758
2015-02-11,117.06999969482422,170.9268341064453,94.76453399658203,27.57343292236328,53.61127853393555,29.232389450073242
2015-02-12,117.33999633789062,172.57064819335938,94.45093536376953,27.99983787536621,54.251155853271484,29.9122257232666
2015-02-13,117.9800033569336,173.28099060058594,93.48104858398438,28.19881248474121,53.8900260925293,30.215967178344727
2015-02-17,116.01000213623047,173.55352783203125,92.07362365722656,28.26276397705078,53.756988525390625,30.12196159362793
2015-02-18,116.33999633789062,173.5701446533203,92.62053680419922,28.454660415649414,54.25749206542969,30.15087890625
2015-02-19,115.94000244140625,173.4462127685547,92.00801849365234,28.468860626220703,53.09176254272461,30.056865692138672
2015-02-20,115.27999877929688,174.48699951171875,92.27780151367188,28.753143310546875,53.60493850708008,30.20875358581543
2015-02-23,115.43000030517578,174.4622344970703,93.33521270751953,28.63942527770996,54.03575897216797,29.91945457458496
2015-02-24,115.26000213623047,174.9578094482422,94.56031036376953,28.809972763061523,52.97137451171875,30.331697463989258
2015-02-25,115.69999694824219,174.8091278076172,94.96868133544922,28.838407516479492,52.98405456542969,30.23043441772461
2015-02-26,116.06999969482422,174.60263061523438,93.6706314086914,28.760234832763672,52.407527923583984,30.20875358581543
2015-02-27,116.16000366210938,174.00790405273438,94.4582748413086,28.78155517578125,52.81932830810547,30.23043441772461
2015-03-02,115.68000030517578,175.10653686523438,92.69878387451172,28.82418441772461,53.1234130859375,30.187047958374023
2015-03-03,115.47000122070312,174.38784790039062,92.3626937866211,28.660730361938477,53.02206802368164,29.9122257232666
2015-03-04,115.11000061035156,173.6526641845703,92.39191436767578,28.532821655273438,52.51521682739258,29.56507110595703
2015-03-05,115.0,173.84266662597656,92.27501678466797,28.625207901000977,52.667274475097656,29.50721549987793
2015-03-06,111.86000061035156,171.39767456054688,90.23649597167969,28.24144744873047,50.918670654296875,29.029891967773438
2015-03-09,111.97000122070312,172.10806274414062,91.06945037841797,28.255653381347656,51.32413864135742,28.914186477661133
2015-03-10,111.41999816894531,169.31614685058594,92.2677001953125,27.665817260742188,51.2861213684082,28.313913345336914
2015-03-11,110.75,168.9196319580078,92.93989562988281,27.736886978149414,51.330474853515625,28.538103103637695
2015-03-12,110.72000122070312,171.0672607421875,92.87416076660156,28.078004837036133,52.22377014160156,28.697223663330078
2015-03-13,110.87999725341797,170.0182647705078,92.58915710449219,27.90744400024414,52.192100524902344,28.350078582763672
2015-03-16,110.80999755859375,172.28976440429688,93.4805908203125,28.22012710571289,52.73063278198242,28.682754516601562
2015-03-17,110.20999908447266,171.7776336669922,94.25511169433594,28.191701889038086,52.711647033691406,28.86355972290039
2015-03-18,112.37000274658203,173.84266662597656,96.074462890625,28.774442672729492,53.81400680541992,29.60847282409668
2015-03-19,112.29000091552734,173.04971313476562,95.58490753173828,28.426218032836914,53.788665771484375,29.087753295898438
