Date,SPY
2021-02-17,364.3505554199219
2021-02-18,362.7998352050781
2021-02-19,362.15911865234375
2021-02-22,359.3735046386719
2021-02-23,359.8099365234375
2021-02-24,363.7748107910156
2021-02-25,355.0093688964844
2021-02-26,353.18017578125
2021-03-01,361.7413330078125
2021-03-02,358.9185485839844
2021-03-03,354.1644592285156
2021-03-04,349.7817077636719
2021-03-05,356.21649169921875
2021-03-08,354.44293212890625
2021-03-09,359.50360107421875
2021-03-10,361.7413330078125
2021-03-11,365.40911865234375
2021-03-12,365.90118408203125
2021-03-15,368.08319091796875
2021-03-16,367.6189880371094
2021-03-17,368.8725280761719
2021-03-18,363.50555419921875
2021-03-19,362.83294677734375
2021-03-22,365.73016357421875
2021-03-23,362.8515625
2021-03-24,361.0070495605469
2021-03-25,363.03790283203125
2021-03-26,368.88818359375
2021-03-29,368.701904296875
2021-03-30,367.7237243652344
2021-03-31,369.2142333984375
2021-04-01,373.2014465332031
2021-04-05,378.55804443359375
2021-04-06,378.33453369140625
2021-04-07,378.7723388671875
2021-04-08,380.57025146484375
2021-04-09,383.3371276855469
2021-04-12,383.476806640625
2021-04-13,384.6133728027344
2021-04-14,383.29986572265625
2021-04-15,387.4173889160156
2021-04-16,388.7122802734375
2021-04-19,386.8025817871094
2021-04-20,383.9705810546875
2021-04-21,387.6037292480469
2021-04-22,384.0637512207031
2021-04-23,388.2279052734375
2021-04-26,389.03839111328125
2021-04-27,388.9545593261719
2021-04-28,388.84271240234375
2021-04-29,391.32073974609375
2021-04-30,388.7496032714844
2021-05-03,389.5881042480469
2021-05-04,387.1844787597656
2021-05-05,387.30560302734375
2021-05-06,390.3984680175781
2021-05-07,393.2397766113281
2021-05-10,389.34588623046875
2021-05-11,385.8709716796875
2021-05-12,377.67303466796875
2021-05-13,382.20989990234375
2021-05-14,388.07879638671875
2021-05-17,387.09136962890625
2021-05-18,383.7563171386719
2021-05-19,382.7501525878906
2021-05-20,386.8677978515625
2021-05-21,386.5511169433594
2021-05-24,390.49169921875
2021-05-25,389.625244140625
2021-05-26,390.3984680175781
2021-05-27,390.6034240722656
2021-05-28,391.3020935058594
2021-06-01,390.9574279785156
2021-06-02,391.572265625
2021-06-03,390.1189880371094
2021-06-04,393.6869812011719
2021-06-07,393.3050842285156
2021-06-08,393.388916015625
2021-06-09,392.802001953125
2021-06-10,394.6278381347656
2021-06-11,395.2799987792969
2021-06-14,396.1649475097656
2021-06-15,395.43829345703125
2021-06-16,393.23046875
2021-06-17,393.10009765625
2021-06-18,387.7970275878906
2021-06-21,393.3486328125
2021-06-22,395.45159912109375
2021-06-23,394.9749755859375
2021-06-24,397.3114929199219
2021-06-25,398.7227783203125
2021-06-28,399.5265808105469
2021-06-29,399.7415466308594
2021-06-30,400.0780334472656
2021-07-01,402.2931213378906
2021-07-02,405.36798095703125
2021-07-06,404.6297302246094
2021-07-07,406.0596923828125
2021-07-08,402.7510681152344
2021-07-09,407.0503845214844
2021-07-12,408.5084533691406
2021-07-13,407.1158142089844
2021-07-14,407.72332763671875
2021-07-15,406.33074951171875
2021-07-16,403.1435852050781
2021-07-19,397.1900329589844
2021-07-20,402.8819274902344
2021-07-21,406.143798828125
2021-07-22,406.99432373046875
2021-07-23,411.18145751953125
2021-07-26,412.1908264160156
2021-07-27,410.3122863769531
2021-07-28,410.1440124511719
2021-07-29,411.8450012207031
2021-07-30,409.8448791503906
2021-08-02,408.9849853515625
2021-08-03,412.3123779296875
2021-08-04,410.2842712402344
2021-08-05,412.88250732421875
2021-08-06,413.56475830078125
2021-08-09,413.22821044921875
2021-08-10,413.7423095703125
2021-08-11,414.7704162597656
2021-08-12,416.01348876953125
2021-08-13,416.7705078125
2021-08-16,417.7519836425781
2021-08-17,415.0133972167969
2021-08-18,410.47119140625
2021-08-19,411.1066589355469
2021-08-20,414.3778991699219
2021-08-23,418.0229187011719
2021-08-24,418.6865234375
2021-08-25,419.5651550292969
2021-08-26,417.08831787109375
2021-08-27,420.8174743652344
2021-08-30,422.6680603027344
2021-08-31,422.0418701171875
2021-09-01,422.2661437988281
2021-09-02,423.5653381347656
2021-09-03,423.46240234375
2021-09-07,421.94842529296875
2021-09-08,421.43438720703125
2021-09-09,419.63055419921875
