Date,BTC-USD,QQQ
2015-01-01,314.2489929199219,
2015-01-02,315.0320129394531,94.56114196777344
2015-01-03,281.0820007324219,
2015-01-04,264.19500732421875,
2015-01-05,274.4739990234375,93.1740493774414
2015-01-06,286.1889953613281,91.92475128173828
2015-01-07,294.3370056152344,93.10974884033203
2015-01-08,283.3489990234375,94.89186096191406
2015-01-09,290.4079895019531,94.26720428466797
2015-01-10,274.7959899902344,
2015-01-11,265.6600036621094,
2015-01-12,267.7959899902344,93.28426361083984
2015-01-13,225.86099243164062,93.25669860839844
2015-01-14,178.10299682617188,92.7423324584961
2015-01-15,209.843994140625,91.53890991210938
2015-01-16,208.0970001220703,92.61370849609375
2015-01-17,199.25999450683594,
2015-01-18,210.33900451660156,
2015-01-19,214.86099243164062,
2015-01-20,211.31500244140625,93.34860229492188
2015-01-21,226.89700317382812,93.82628631591797
2015-01-22,233.406005859375,95.56242370605469
2015-01-23,232.87899780273438,95.77368927001953
2015-01-24,247.8470001220703,
2015-01-25,253.71800231933594,
2015-01-26,273.4729919433594,95.6634750366211
2015-01-27,263.4750061035156,93.18324279785156
2015-01-28,233.9149932861328,92.70558166503906
2015-01-29,233.51300048828125,93.59661102294922
2015-01-30,226.4250030517578,92.87089538574219
2015-01-31,217.46400451660156,
2015-02-01,226.9720001220703,
2015-02-02,238.22900390625,93.67928314208984
2015-02-03,227.26800537109375,94.57952117919922
2015-02-04,226.85299682617188,94.49683380126953
2015-02-05,217.11099243164062,95.31441497802734
2015-02-06,222.26600646972656,94.73564910888672
2015-02-07,227.75399780273438,
2015-02-08,223.41200256347656,
2015-02-09,220.11000061035156,94.43252563476562
2015-02-10,219.83900451660156,95.90231323242188
2015-02-11,219.18499755859375,96.25140380859375
2015-02-12,221.76400756835938,97.37205505371094
2015-02-13,235.427001953125,98.20801544189453
2015-02-14,257.3210144042969,
2015-02-15,234.8249969482422,
2015-02-16,233.84300231933594,
2015-02-17,243.61000061035156,98.29987335205078
2015-02-18,236.3260040283203,98.43766784667969
2015-02-19,240.2830047607422,98.92453002929688
2015-02-20,243.7790069580078,99.58587646484375
2015-02-21,244.53399658203125,
2015-02-22,235.9770050048828,
2015-02-23,238.89199829101562,99.68697357177734
2015-02-24,238.73500061035156,99.76045227050781
2015-02-25,237.47000122070312,99.51242065429688
2015-02-26,236.42599487304688,100.01766967773438
2015-02-27,253.8280029296875,99.57673645019531
2015-02-28,254.26300048828125,
2015-03-01,260.2019958496094,
2015-03-02,275.6700134277344,100.47695922851562
2015-03-03,281.7019958496094,100.00849914550781
2015-03-04,273.0920104980469,99.6226577758789
2015-03-05,276.1780090332031,99.79722595214844
2015-03-06,272.7229919433594,98.66731262207031
2015-03-07,276.260986328125,
2015-03-08,274.35400390625,
2015-03-09,289.60699462890625,98.95207977294922
2015-03-10,291.760009765625,97.11486053466797
2015-03-11,296.3789978027344,96.55452728271484
2015-03-12,294.35400390625,97.18836212158203
2015-03-13,285.3370056152344,96.76576232910156
2015-03-14,281.885009765625,
2015-03-15,286.39300537109375,
2015-03-16,290.5929870605469,98.01509857177734
2015-03-17,285.5050048828125,98.1712417602539
2015-03-18,256.29901123046875,99.13580322265625
2015-03-19,260.9280090332031,99.28277587890625
2015-03-20,261.7489929199219,99.9254150390625
2015-03-21,260.0249938964844,
2015-03-22,267.9599914550781,
2015-03-23,266.739990234375,99.73209381103516
2015-03-24,245.59500122070312,99.37301635742188
2015-03-25,246.19700622558594,97.09882354736328
2015-03-26,248.53199768066406,96.76737213134766
2015-03-27,247.0290069580078,97.1540756225586
2015-03-28,252.79800415039062,
2015-03-29,242.71299743652344,
2015-03-30,247.5260009765625,98.26815795898438
2015-03-31,244.2239990234375,97.22772979736328
2015-04-01,247.27200317382812,96.7213363647461
2015-04-02,253.0050048828125,96.78575897216797
2015-04-03,254.32200622558594,
2015-04-04,253.69700622558594,
2015-04-05,260.5979919433594,
2015-04-06,255.49200439453125,97.57762145996094
2015-04-07,253.17999267578125,97.41188049316406
2015-04-08,245.02200317382812,98.18529510498047
2015-04-09,243.67599487304688,98.80215454101562
2015-04-10,236.07200622558594,99.20722961425781
2015-04-11,236.552001953125,
2015-04-12,236.1529998779297,
2015-04-13,224.58700561523438,98.95867919921875
2015-04-14,219.15899658203125,98.67325592041016
2015-04-15,223.83299255371094,99.2901611328125
2015-04-16,228.572998046875,99.15203857421875
2015-04-17,222.8820037841797,97.605224609375
2015-04-18,223.3560028076172,
2015-04-19,222.60000610351562,
2015-04-20,224.62600708007812,99.06917572021484
2015-04-21,235.2689971923828,99.4926986694336
2015-04-22,234.17599487304688,100.03591918945312
2015-04-23,236.46200561523438,100.41339874267578
2015-04-24,231.26800537109375,101.77608489990234
2015-04-25,226.38999938964844,
2015-04-26,219.42999267578125,
2015-04-27,229.28599548339844,101.5182876586914
2015-04-28,225.85499572753906,101.31570434570312
2015-04-29,225.80799865722656,100.68042755126953
2015-04-30,236.14500427246094,99.09680938720703
2015-05-01,232.07899475097656,100.40422058105469
2015-05-02,234.92999267578125,
2015-05-03,240.35800170898438,
2015-05-04,239.01800537109375,100.56993865966797
2015-05-05,236.12100219726562,98.9310531616211
2015-05-06,229.78199768066406,98.2497329711914
2015-05-07,237.33399963378906,98.83899688720703
2015-05-08,243.86300659179688,100.07275390625
2015-05-09,241.83200073242188,
2015-05-10,240.29600524902344,
2015-05-11,242.1580047607422,99.68607330322266
2015-05-12,241.11199951171875,99.23490142822266
2015-05-13,236.3769989013672,99.43745422363281
2015-05-14,236.9290008544922,100.89219665527344
2015-05-15,237.60499572753906,100.89219665527344
2015-05-16,236.1529998779297,
2015-05-17,236.802001953125,
2015-05-18,233.1280059814453,101.33411407470703
2015-05-19,231.94700622558594,101.2236557006836
2015-05-20,234.01800537109375,101.28812408447266
2015-05-21,235.343994140625,101.81290435791016
2015-05-22,240.34800720214844,101.71162414550781
2015-05-23,238.8719940185547,
2015-05-24,240.9530029296875,
2015-05-25,237.11000061035156,
2015-05-26,237.11599731445312,100.54228210449219
2015-05-27,237.2830047607422,102.16277313232422
2015-05-28,237.4080047607422,101.9325942993164
2015-05-29,237.0959930419922,101.3249282836914
2015-05-30,233.34500122070312,
2015-05-31,230.19000244140625,
2015-06-01,222.92599487304688,101.66558837890625
2015-06-02,225.80299377441406,101.34333038330078
2015-06-03,225.87399291992188,101.64716339111328
2015-06-04,224.32400512695312,100.87377166748047
2015-06-05,224.95199584960938,100.63438415527344
2015-06-06,225.61900329589844,
2015-06-07,222.88099670410156,
2015-06-08,228.48899841308594,99.61238861083984
2015-06-09,229.04800415039062,99.4466552734375
2015-06-10,228.80299377441406,100.80934143066406
2015-06-11,229.7050018310547,100.9566650390625
2015-06-12,229.98199462890625,100.12799835205078
2015-06-13,232.40199279785156,
2015-06-14,233.54299926757812,
2015-06-15,236.822998046875,99.63081359863281
2015-06-16,250.89500427246094,100.1740493774414
2015-06-17,249.28399658203125,100.45024871826172
2015-06-18,249.0070037841797,101.9141845703125
2015-06-19,244.6060028076172,101.41031646728516
2015-06-20,245.21200561523438,
2015-06-21,243.94400024414062,
2015-06-22,246.99000549316406,102.15779876708984
2015-06-23,244.29600524902344,102.24089050292969
2015-06-24,240.51499938964844,101.7148666381836
2015-06-25,242.7989959716797,101.51183319091797
2015-06-26,243.593994140625,100.83815002441406
2015-06-27,250.99000549316406,
2015-06-28,249.01100158691406,
2015-06-29,257.0639953613281,98.4572525024414
2015-06-30,263.0719909667969,98.80793762207031
2015-07-01,258.6210021972656,99.59233856201172
2015-07-02,255.41200256347656,99.62002563476562
2015-07-03,256.33599853515625,
2015-07-04,260.885986328125,
2015-07-05,271.9129943847656,
2015-07-06,269.0299987792969,99.38929748535156
2015-07-07,266.2070007324219,99.63847351074219
2015-07-08,270.7850036621094,97.90355682373047
2015-07-09,269.2279968261719,97.84817504882812
2015-07-10,284.8940124511719,99.34318542480469
2015-07-11,293.114990234375,
2015-07-12,310.86700439453125,
2015-07-13,292.0539855957031,101.08733367919922
2015-07-14,287.4639892578125,101.75178527832031
2015-07-15,285.8290100097656,101.86251068115234
2015-07-16,278.0889892578125,103.30211639404297
2015-07-17,279.47198486328125,104.8248062133789
2015-07-18,274.9010009765625,
2015-07-19,273.614013671875,
2015-07-20,278.9809875488281,105.18472290039062
2015-07-21,275.8330078125,105.12010955810547
2015-07-22,277.22198486328125,103.92965698242188
2015-07-23,276.04901123046875,103.54206848144531
2015-07-24,288.27801513671875,102.5269546508789
2015-07-25,288.6969909667969,
2015-07-26,292.6860046386719,
2015-07-27,293.6239929199219,101.67794036865234
2015-07-28,294.427001953125,102.55463409423828
2015-07-29,289.5899963378906,102.94222259521484
2015-07-30,287.72198486328125,103.43135833740234
2015-07-31,284.6499938964844,103.31134796142578
2015-08-01,281.60101318359375,
2015-08-02,282.614013671875,
2015-08-03,281.22698974609375,102.98835754394531
2015-08-04,285.2179870605469,102.79456329345703
2015-08-05,281.8819885253906,103.58820343017578
2015-08-06,278.5769958496094,101.92711639404297
2015-08-07,279.5849914550781,101.79790496826172
2015-08-08,260.99700927734375,
2015-08-09,265.0830078125,
2015-08-10,264.4700012207031,102.96066284179688
2015-08-11,270.385986328125,101.6410140991211
2015-08-12,266.3760070800781,101.99169158935547
2015-08-13,264.0799865722656,101.82560729980469
2015-08-14,265.67999267578125,101.98246002197266
2015-08-15,261.5509948730469,
2015-08-16,258.5069885253906,
2015-08-17,257.97601318359375,102.83145904541016
2015-08-18,211.07899475097656,102.3054428100586
2015-08-19,226.6840057373047,101.63179016113281
2015-08-20,235.35000610351562,98.81714630126953
2015-08-21,232.56900024414062,94.498291015625
2015-08-22,230.38999938964844,
2015-08-23,228.16900634765625,
2015-08-24,210.4949951171875,90.86231231689453
2015-08-25,221.60899353027344,90.52086639404297
2015-08-26,225.83099365234375,95.07966613769531
2015-08-27,224.7689971923828,97.4882583618164
2015-08-28,231.39599609375,97.46983337402344
2015-08-29,229.77999877929688,
2015-08-30,228.76100158691406,
2015-08-31,230.05599975585938,96.26090240478516
2015-09-01,228.12100219726562,93.25245666503906
2015-09-02,229.28399658203125,95.882568359375
2015-09-03,227.18299865722656,95.4118881225586
2015-09-04,230.29800415039062,94.27679443359375
2015-09-05,235.0189971923828,
2015-09-06,239.83999633789062,
2015-09-07,239.8470001220703,
2015-09-08,243.60699462890625,96.93458557128906
2015-09-09,238.16799926757812,95.84563446044922
2015-09-10,238.4770050048828,96.88839721679688
2015-09-11,240.10699462890625,97.42369079589844
2015-09-12,235.22900390625,
2015-09-13,230.51199340820312,
2015-09-14,230.6439971923828,97.12836456298828
2015-09-15,230.3040008544922,98.27269744873047
2015-09-16,229.09100341796875,98.82635498046875
2015-09-17,229.80999755859375,98.86328887939453
2015-09-18,232.97500610351562,97.45716857910156
2015-09-19,231.4929962158203,
2015-09-20,231.21200561523438,
2015-09-21,227.0850067138672,97.7624282836914
2015-09-22,230.6179962158203,96.30085754394531
2015-09-23,230.2830047607422,96.37481689453125
2015-09-24,234.5290069580078,96.0232925415039
2015-09-25,235.1439971923828,95.20923614501953
2015-09-26,234.33999633789062,
2015-09-27,232.7570037841797,
2015-09-28,239.14199829101562,92.49874114990234
2015-09-29,236.68699645996094,92.01770782470703
2015-09-30,236.05999755859375,94.1361312866211
2015-10-01,237.5489959716797,94.56168365478516
