Date,HYG,VWO
2007-01-03,,23.019859313964844
2007-01-04,,22.7686767578125
2007-01-05,,22.133337020874023
2007-01-08,,22.375659942626953
2007-01-09,,21.840797424316406
2007-01-10,,21.778730392456055
2007-01-11,,22.068330764770508
2007-01-12,,22.390430450439453
2007-01-16,,22.39930534362793
2007-01-17,,22.340194702148438
2007-01-18,,22.22199821472168
2007-01-19,,22.650480270385742
2007-01-22,,22.629793167114258
2007-01-23,,23.019859313964844
2007-01-24,,23.229671478271484
2007-01-25,,22.52046012878418
2007-01-26,,22.6563777923584
2007-01-29,,22.47318458557129
2007-01-30,,22.715490341186523
2007-01-31,,22.886877059936523
2007-02-01,,23.117374420166016
2007-02-02,,23.108501434326172
2007-02-05,,23.108501434326172
2007-02-06,,23.35673713684082
2007-02-07,,23.315364837646484
2007-02-08,,23.35969352722168
2007-02-09,,22.951889038085938
2007-02-12,,22.783451080322266
2007-02-13,,23.173513412475586
2007-02-14,,23.581317901611328
2007-02-15,,23.57541275024414
2007-02-16,,23.55768585205078
2007-02-20,,23.672922134399414
2007-02-21,,23.625640869140625
2007-02-22,,23.770435333251953
2007-02-23,,23.66111183166504
2007-02-26,,23.616771697998047
2007-02-27,,21.89398765563965
2007-02-28,,22.3549747467041
2007-03-01,,22.089025497436523
2007-03-02,,21.630979537963867
2007-03-05,,21.010425567626953
2007-03-06,,22.015140533447266
2007-03-07,,21.793514251708984
2007-03-08,,22.230859756469727
2007-03-09,,22.30768394470215
2007-03-12,,22.529314041137695
2007-03-13,,21.604389190673828
2007-03-14,,22.006277084350586
2007-03-15,,22.233816146850586
2007-03-16,,22.04764175415039
2007-03-19,,22.47022819519043
2007-03-20,,22.685935974121094
2007-03-21,,23.33604621887207
2007-03-22,,23.22079849243164
2007-03-23,,23.268081665039062
2007-03-26,,23.25626564025879
2007-03-27,,23.129192352294922
2007-03-28,,22.92530059814453
2007-03-29,,23.365596771240234
2007-03-30,,23.30649757385254
2007-04-02,,23.51040267944336
2007-04-03,,23.862043380737305
2007-04-04,,23.941835403442383
2007-04-05,,24.00684356689453
2007-04-09,,24.148696899414062
2007-04-10,,24.222564697265625
2007-04-11,31.546607971191406,24.154600143432617
2007-04-12,31.567739486694336,24.4619197845459
2007-04-13,31.510318756103516,24.541709899902344
2007-04-16,31.49821662902832,24.84903907775879
2007-04-17,31.48309898376465,24.760387420654297
2007-04-18,31.492176055908203,24.645139694213867
2007-04-19,31.601024627685547,24.47966766357422
2007-04-20,31.58286476135254,24.846080780029297
2007-04-23,31.601024627685547,24.74265480041504
2007-04-24,31.818687438964844,24.760387420654297
2007-04-25,31.86708641052246,25.112028121948242
2007-04-26,31.924516677856445,24.77515983581543
2007-04-27,31.924516677856445,24.6746883392334
2007-04-30,31.927509307861328,24.193012237548828
2007-05-01,31.931459426879883,24.36440658569336
2007-05-02,31.919328689575195,24.834257125854492
2007-05-03,31.92236328125,25.07952880859375
2007-05-04,31.96177101135254,25.174095153808594
2007-05-07,31.958784103393555,25.26273536682129
2007-05-08,31.98299217224121,25.035207748413086
2007-05-09,31.898122787475586,25.336620330810547
2007-05-10,32.013336181640625,24.707197189331055
2007-05-11,32.03147888183594,25.35434913635254
2007-05-14,32.02846145629883,25.19477653503418
