Date,QQQ
2017-01-03,112.15733337402344
2017-01-04,112.76715850830078
2017-01-05,113.40519714355469
2017-01-06,114.39970397949219
2017-01-09,114.7750244140625
2017-01-10,115.02835083007812
2017-01-11,115.33795928955078
2017-01-12,115.15968322753906
2017-01-13,115.55374908447266
2017-01-17,115.20660400390625
2017-01-18,115.44115447998047
2017-01-19,115.3848648071289
2017-01-20,115.63819122314453
2017-01-23,115.73200988769531
2017-01-24,116.51073455810547
2017-01-25,117.68357849121094
2017-01-26,117.8055191040039
2017-01-27,118.03072357177734
2017-01-30,117.1112289428711
2017-01-31,116.8766860961914
2017-02-01,117.68357849121094
2017-02-02,117.58035278320312
2017-02-03,117.91813659667969
2017-02-06,118.0588607788086
2017-02-07,118.49043273925781
2017-02-08,118.6874771118164
2017-02-09,119.11905670166016
2017-02-10,119.51313018798828
2017-02-13,120.18866729736328
2017-02-14,120.59208679199219
2017-02-15,121.30518341064453
2017-02-16,121.26763916015625
2017-02-17,121.79304504394531
2017-02-21,122.39356994628906
2017-02-22,122.44043731689453
2017-02-23,121.980712890625
2017-02-24,122.21527862548828
2017-02-27,122.36537170410156
2017-02-28,121.99012756347656
2017-03-01,123.32237243652344
2017-03-02,122.70316314697266
2017-03-03,122.92833709716797
2017-03-06,122.6562271118164
2017-03-07,122.44984436035156
2017-03-08,122.66565704345703
2017-03-09,122.75946807861328
2017-03-10,123.27547454833984
2017-03-13,123.4819107055664
2017-03-14,123.18167114257812
2017-03-15,123.94164276123047
2017-03-16,123.85712432861328
2017-03-17,123.81395721435547
2017-03-20,123.92672729492188
2017-03-21,122.04638671875
2017-03-22,122.87374877929688
2017-03-23,122.56346893310547
2017-03-24,122.81735229492188
2017-03-27,123.01478576660156
2017-03-28,123.76692199707031
2017-03-29,124.34042358398438
2017-03-30,124.54727935791016
2017-03-31,124.46268463134766
2017-04-03,124.38744354248047
2017-04-04,124.58490753173828
2017-04-05,124.07719421386719
2017-04-06,124.14298248291016
2017-04-07,124.07719421386719
2017-04-10,124.12419128417969
2017-04-11,123.58828735351562
2017-04-12,123.09000396728516
2017-04-13,122.60108947753906
2017-04-17,123.61648559570312
2017-04-18,123.42845916748047
2017-04-19,123.62593078613281
2017-04-20,124.66009521484375
2017-04-21,124.6319351196289
2017-04-24,126.13619232177734
2017-04-25,127.04825592041016
2017-04-26,126.86957550048828
2017-04-27,127.63114929199219
2017-04-28,127.8567886352539
2017-05-01,128.99441528320312
2017-05-02,129.21066284179688
2017-05-03,128.79696655273438
2017-05-04,128.84396362304688
2017-05-05,129.31410217285156
2017-05-08,129.5961151123047
2017-05-09,130.04742431640625
2017-05-10,130.1226043701172
2017-05-11,130.0192108154297
2017-05-12,130.31063842773438
2017-05-15,130.724365234375
2017-05-16,131.26962280273438
2017-05-17,127.93194580078125
2017-05-18,129.05081176757812
2017-05-19,129.5961151123047
2017-05-22,130.686767578125
2017-05-23,130.81834411621094
2017-05-24,131.42007446289062
2017-05-25,132.5389404296875
2017-05-26,132.77395629882812
2017-05-30,132.88682556152344
2017-05-31,132.8397674560547
2017-06-01,133.3568572998047
2017-06-02,134.8800811767578
2017-06-05,134.85177612304688
2017-06-06,134.31585693359375
2017-06-07,134.8424072265625
2017-06-08,134.98341369628906
2017-06-09,131.608154296875
2017-06-12,130.90293884277344
2017-06-13,131.96542358398438
2017-06-14,131.3919219970703
2017-06-15,130.80897521972656
2017-06-16,130.24142456054688
2017-06-19,132.41920471191406
2017-06-20,131.38217163085938
2017-06-21,132.68316650390625
2017-06-22,132.6454620361328
2017-06-23,133.1544952392578
2017-06-26,132.53233337402344
2017-06-27,130.12831115722656
2017-06-28,132.00437927246094
2017-06-29,129.71347045898438
2017-06-30,129.76060485839844
2017-07-03,128.39361572265625
2017-07-05,129.65692138671875
2017-07-06,128.48793029785156
2017-07-07,129.87374877929688
2017-07-10,130.7222442626953
2017-07-11,131.0899200439453
2017-07-12,132.6454620361328
2017-07-13,132.93771362304688
2017-07-14,133.9842071533203
2017-07-17,134.0501708984375
2017-07-18,134.9457550048828
2017-07-19,135.73770141601562
2017-07-20,135.91683959960938
2017-07-21,135.8602752685547
2017-07-24,136.48248291015625
2017-07-25,136.1336212158203
2017-07-26,136.57675170898438
2017-07-27,135.7188262939453
2017-07-28,135.6056671142578
2017-07-31,135.03062438964844
2017-08-01,135.34170532226562
2017-08-02,135.70938110351562
2017-08-03,135.18150329589844
2017-08-04,135.42662048339844
2017-08-07,136.28445434570312
2017-08-08,136.0487823486328
2017-08-09,135.86968994140625
2017-08-10,132.95655822753906
2017-08-11,133.9652862548828
2017-08-14,135.69049072265625
2017-08-15,135.78482055664062
2017-08-16,136.02049255371094
2017-08-17,133.2393798828125
2017-08-18,133.14511108398438
2017-08-21,132.9754180908203
2017-08-22,135.00230407714844
2017-08-23,134.52154541015625
2017-08-24,134.1256103515625
2017-08-25,133.8426971435547
2017-08-28,134.25759887695312
2017-08-29,134.78550720214844
