Date,EWA,EWC
2010-01-04,11.621557235717773,19.11954116821289
2010-01-05,11.655855178833008,19.2260799407959
2010-01-06,11.699950218200684,19.37523078918457
2010-01-07,11.646055221557617,19.311309814453125
2010-01-08,11.783242225646973,19.410737991333008
2010-01-11,11.900827407836914,19.353923797607422
2010-01-12,11.508866310119629,19.01300811767578
2010-01-13,11.68525218963623,19.20476722717285
2010-01-14,11.832236289978027,19.2615909576416
2010-01-15,11.582362174987793,18.977497100830078
2010-01-19,11.753847122192383,18.998802185058594
2010-01-20,11.405983924865723,18.56555938720703
2010-01-21,11.023825645446777,18.182031631469727
2010-01-22,10.798441886901855,17.812707901000977
2010-01-25,10.9650239944458,17.862422943115234
2010-01-26,10.769050598144531,17.805606842041016
2010-01-27,10.72005558013916,17.720380783081055
2010-01-28,10.622063636779785,17.535717010498047
2010-01-29,10.337894439697266,17.358154296875
2010-02-01,10.587770462036133,17.684871673583984
2010-02-02,10.661261558532715,17.897937774658203
2010-02-03,10.528976440429688,17.81981086730957
2010-02-04,10.029231071472168,17.2800350189209
2010-02-05,10.088019371032715,17.407873153686523
2010-02-08,10.024328231811523,17.223217010498047
2010-02-09,10.31829833984375,17.56412696838379
2010-02-10,10.254602432250977,17.69907569885254
2010-02-11,10.612264633178711,18.103904724121094
2010-02-12,10.426088333129883,18.111011505126953
2010-02-16,10.847437858581543,18.5229434967041
2010-02-17,10.9650239944458,18.544252395629883
2010-02-18,11.048320770263672,18.764429092407227
2010-02-19,10.9650239944458,18.77863121032715
2010-02-22,11.11201286315918,18.664993286132812
2010-02-23,10.886634826660156,18.196239471435547
2010-02-24,10.94543170928955,18.267261505126953
2010-02-25,10.69066047668457,18.345386505126953
2010-02-26,10.847437858581543,18.402206420898438
2010-03-01,11.156107902526855,18.77863121032715
2010-03-02,11.214902877807617,19.055620193481445
2010-03-03,11.342286109924316,19.19766616821289
2010-03-04,11.278595924377441,19.140851974487305
2010-03-05,11.567667007446289,19.43204689025879
2010-03-08,11.503968238830566,19.474660873413086
2010-03-09,11.621557235717773,19.43204689025879
2010-03-10,11.660755157470703,19.467559814453125
2010-03-11,11.626456260681152,19.538578033447266
2010-03-12,11.621557235717773,19.666423797607422
2010-03-15,11.499070167541504,19.638017654418945
2010-03-16,11.704848289489746,19.922107696533203
2010-03-17,11.837135314941406,20.021547317504883
2010-03-18,11.748943328857422,19.82977867126465
2010-03-19,11.63625717163086,19.694833755493164
2010-03-22,11.71464729309082,19.652223587036133
2010-03-23,11.881230354309082,19.82977867126465
2010-03-24,11.641157150268555,19.510177612304688
2010-03-25,11.670554161071777,19.545684814453125
2010-03-26,11.675453186035156,19.517276763916016
2010-03-29,11.866531372070312,19.75875473022461
2010-03-30,11.886130332946777,19.822677612304688
2010-03-31,11.763644218444824,19.822677612304688
2010-04-01,11.989017486572266,20.18489646911621
2010-04-05,12.06251049041748,20.33404541015625
2010-04-06,12.140904426574707,20.31983757019043
2010-04-07,12.052716255187988,20.149389266967773
2010-04-08,12.047811508178711,20.213306427001953
2010-04-09,12.145798683166504,20.32694435119629
2010-04-12,12.106605529785156,20.291431427001953
2010-04-13,12.082109451293945,20.227510452270508
2010-04-14,12.30748176574707,20.44057846069336
2010-04-15,12.282986640930176,20.412172317504883
2010-04-16,11.993918418884277,19.936315536499023
2010-04-19,11.91552734375,19.964725494384766
2010-04-20,12.087007522583008,20.341148376464844
2010-04-21,12.028214454650879,20.291431427001953
2010-04-22,11.944924354553223,20.348249435424805
2010-04-23,11.900827407836914,20.433475494384766
2010-04-26,11.87632942199707,20.49030113220215
2010-04-27,11.440279006958008,19.915008544921875
2010-04-28,11.63625717163086,19.964725494384766
2010-04-29,11.739141464233398,20.32694435119629
2010-04-30,11.484373092651367,20.04994773864746
2010-05-03,11.626456260681152,20.213306427001953
2010-05-04,11.01892375946045,19.623811721801758
2010-05-05,10.925832748413086,19.275793075561523
2010-05-06,10.195809364318848,18.74311637878418
2010-05-07,10.2105073928833,18.721811294555664
2010-05-10,10.989523887634277,19.538578033447266
2010-05-11,10.739651679992676,19.652223587036133
2010-05-12,10.818045616149902,20.0002384185791
2010-05-13,10.754349708557129,19.78716468811035
2010-05-14,10.391790390014648,19.43204689025879
2010-05-17,10.288900375366211,19.20476722717285
2010-05-18,10.014531135559082,19.041418075561523
2010-05-19,9.666666984558105,18.814144134521484
2010-05-20,9.049332618713379,17.897937774658203
2010-05-21,9.451091766357422,18.238849639892578
2010-05-24,9.431493759155273,18.025775909423828
2010-05-25,9.358000755310059,18.061290740966797
2010-05-26,9.279608726501465,18.089698791503906
2010-05-27,9.91654109954834,18.74311637878418
2010-05-28,9.8528470993042,18.58686637878418
2010-06-01,9.544179916381836,18.36669158935547
2010-06-02,9.828349113464355,18.977497100830078
2010-06-03,9.857747077941895,18.941986083984375
2010-06-04,9.348200798034668,18.25305938720703
2010-06-07,9.137523651123047,18.0968017578125
2010-06-08,9.519683837890625,18.402206420898438
2010-06-09,9.544179916381836,18.31697654724121
2010-06-10,10.05372428894043,18.885164260864258
2010-06-11,10.107619285583496,18.885164260864258
2010-06-14,10.181114196777344,18.93488121032715
2010-06-15,10.401589393615723,19.44625473022461
2010-06-16,10.33299446105957,19.481760025024414
2010-06-17,10.30849838256836,19.481760025024414
2010-06-18,10.401589393615723,19.61670684814453
2010-06-21,10.514274597167969,19.538578033447266
2010-06-22,10.31829833984375,19.23318099975586
2010-06-23,10.260418891906738,19.0544376373291
2010-06-24,10.05263614654541,18.732694625854492
2010-06-25,10.112000465393066,18.897132873535156
2010-06-28,9.973482131958008,18.768444061279297
2010-06-29,9.498556137084961,17.896154403686523
2010-06-30,9.389713287353516,17.78175926208496
2010-07-01,9.394661903381348,17.595855712890625
2010-07-02,9.389713287353516,17.595855712890625
2010-07-06,9.538130760192871,17.746004104614258
2010-07-07,9.834957122802734,18.18929672241211
2010-07-08,10.06747817993164,18.339447021484375
2010-07-09,10.141682624816895,18.73984146118164
2010-07-12,10.07242488861084,18.689790725708008
2010-07-13,10.2010498046875,18.904287338256836
2010-07-14,10.255471229553223,18.81134033203125
2010-07-15,10.245573997497559,18.925735473632812
2010-07-16,9.914114952087402,18.36089515686035
2010-07-19,9.943800926208496,18.289400100708008
2010-07-20,10.285151481628418,18.632591247558594
2010-07-21,10.05263614654541,18.339447021484375
2010-07-22,10.369253158569336,18.754138946533203
2010-07-23,10.542403221130371,18.86853790283203
2010-07-26,10.690821647644043,19.004383087158203
2010-07-27,10.6512451171875,18.904287338256836
2010-07-28,10.577034950256348,18.832786560058594
2010-07-29,10.666080474853516,18.961484909057617
2010-07-30,10.66113567352295,19.061580657958984
2010-08-02,11.012386322021484,19.40477752685547
2010-08-03,10.893653869628906,19.297529220581055
2010-08-04,11.007437705993652,19.469131469726562
2010-08-05,10.923335075378418,19.369029998779297
2010-08-06,10.918391227722168,19.2188777923584
2010-08-09,11.022281646728516,19.290380477905273
2010-08-10,10.829338073730469,19.183134078979492
2010-08-11,10.334625244140625,18.51819610595703
2010-08-12,10.309886932373047,18.446697235107422
2010-08-13,10.389039039611816,18.42524528503418
2010-08-16,10.502825736999512,18.39664649963379
2010-08-17,10.690821647644043,18.918588638305664
2010-08-18,10.616612434387207,19.075885772705078
