Date,^FVX,^IRX,^TNX,^TYX
2021-12-01,1.1549999713897705,0.05000000074505806,1.434000015258789,1.777999997138977
2021-12-02,1.2079999446868896,0.0430000014603138,1.4479999542236328,1.7690000534057617
2021-12-03,1.1239999532699585,0.0430000014603138,1.343000054359436,1.6779999732971191
2021-12-06,1.2130000591278076,0.0430000014603138,1.434000015258789,1.7569999694824219
2021-12-07,1.2569999694824219,0.057999998331069946,1.4800000190734863,1.7960000038146973
2021-12-08,1.2610000371932983,0.05999999865889549,1.5089999437332153,1.875
2021-12-09,1.2569999694824219,0.05299999937415123,1.4869999885559082,1.8660000562667847
2021-12-10,1.2519999742507935,0.05000000074505806,1.4889999628067017,1.8839999437332153
2021-12-13,1.2130000591278076,0.0430000014603138,1.4240000247955322,1.812000036239624
2021-12-14,1.2339999675750732,0.04800000041723251,1.437999963760376,1.8179999589920044
2021-12-15,1.2610000371932983,0.04500000178813934,1.4630000591278076,1.8550000190734863
2021-12-16,1.1729999780654907,0.03500000014901161,1.4220000505447388,1.8609999418258667
2021-12-17,1.1770000457763672,0.029999999329447746,1.4019999504089355,1.8179999589920044
2021-12-20,1.1640000343322754,0.03799999877810478,1.4190000295639038,1.8489999771118164
2021-12-21,1.2350000143051147,0.06499999761581421,1.4869999885559082,1.8969999551773071
2021-12-22,1.222000002861023,0.06499999761581421,1.4570000171661377,1.8569999933242798
2021-12-23,1.2430000305175781,0.057999998331069946,1.4930000305175781,1.9049999713897705
2021-12-27,1.2519999742507935,0.0430000014603138,1.4809999465942383,1.8860000371932983
2021-12-28,1.2450000047683716,0.05000000074505806,1.4809999465942383,1.902999997138977
2021-12-29,1.2940000295639038,0.04500000178813934,1.5429999828338623,1.9529999494552612
2021-12-30,1.2740000486373901,0.02500000037252903,1.5149999856948853,1.9249999523162842
2021-12-31,1.2630000114440918,0.032999999821186066,1.5119999647140503,1.9049999713897705
2022-01-03,1.3650000095367432,0.05299999937415123,1.628000020980835,2.0160000324249268
2022-01-04,1.375,0.07999999821186066,1.6679999828338623,2.0769999027252197
2022-01-05,1.4329999685287476,0.08500000089406967,1.7050000429153442,2.0880000591278076
2022-01-06,1.4769999980926514,0.09000000357627869,1.7330000400543213,2.0929999351501465
2022-01-07,1.5049999952316284,0.08799999952316284,1.7710000276565552,2.118000030517578
2022-01-10,1.5379999876022339,0.09000000357627869,1.7799999713897705,2.109999895095825
2022-01-11,1.5069999694824219,0.11800000071525574,1.746000051498413,2.072999954223633
2022-01-12,1.4930000305175781,0.11500000208616257,1.725000023841858,2.0739998817443848
2022-01-13,1.4809999465942383,0.10999999940395355,1.7109999656677246,2.055000066757202
2022-01-14,1.5479999780654907,0.11800000071525574,1.7719999551773071,2.114000082015991
2022-01-18,1.6480000019073486,0.12999999523162842,1.8650000095367432,2.184000015258789
2022-01-19,1.6109999418258667,0.16500000655651093,1.8270000219345093,2.138000011444092
2022-01-20,1.6180000305175781,0.1679999977350235,1.8329999446868896,2.140000104904175
2022-01-21,1.5470000505447388,0.15800000727176666,1.746999979019165,2.063999891281128
2022-01-24,1.5140000581741333,0.1550000011920929,1.7350000143051147,2.0829999446868896
2022-01-25,1.565999984741211,0.1850000023841858,1.7829999923706055,2.128999948501587
2022-01-26,1.649999976158142,0.17800000309944153,1.8480000495910645,2.1670000553131104
2022-01-27,1.6619999408721924,0.1850000023841858,1.8070000410079956,2.0910000801086426
2022-01-28,1.6239999532699585,0.17299999296665192,1.781999945640564,2.0829999446868896
2022-01-31,1.6139999628067017,0.17299999296665192,1.781999945640564,2.0980000495910645
2022-02-01,1.6239999532699585,0.2029999941587448,1.7999999523162842,2.124000072479248
2022-02-02,1.600000023841858,0.1850000023841858,1.7660000324249268,2.0940001010894775
2022-02-03,1.6610000133514404,0.19300000369548798,1.8270000219345093,2.1449999809265137
2022-02-04,1.7879999876022339,0.22300000488758087,1.9299999475479126,2.2330000400543213
2022-02-07,1.7649999856948853,0.2029999941587448,1.9160000085830688,2.2179999351501465
2022-02-08,1.8079999685287476,0.2750000059604645,1.9539999961853027,2.250999927520752
2022-02-09,1.8020000457763672,0.27000001072883606,1.9290000200271606,2.2320001125335693
2022-02-10,1.944000005722046,0.3700000047683716,2.0309998989105225,2.309000015258789
2022-02-11,1.8680000305175781,0.33799999952316284,1.9550000429153442,2.256999969482422
2022-02-14,1.9179999828338623,0.36000001430511475,1.996000051498413,2.3010001182556152
2022-02-15,1.934999942779541,0.4000000059604645,2.0450000762939453,2.361999988555908
2022-02-16,1.9199999570846558,0.37299999594688416,2.046999931335449,2.365000009536743
2022-02-17,1.8480000495910645,0.3449999988079071,1.972000002861023,2.312000036239624
2022-02-18,1.8240000009536743,0.3179999887943268,1.9320000410079956,2.250999927520752
2022-02-22,1.8660000562667847,0.33000001311302185,1.9479999542236328,2.253000020980835
2022-02-23,1.8930000066757202,0.3400000035762787,1.9769999980926514,2.2750000953674316
2022-02-24,1.850000023841858,0.28299999237060547,1.968999981880188,2.2929999828338623
2022-02-25,1.8849999904632568,0.2980000078678131,1.9859999418258667,2.2960000038146973
2022-02-28,1.7209999561309814,0.2879999876022339,1.8389999866485596,2.181999921798706
2022-03-01,1.5490000247955322,0.31299999356269836,1.7070000171661377,2.1040000915527344
2022-03-02,1.7519999742507935,0.32499998807907104,1.8650000095367432,2.2330000400543213
2022-03-03,1.7369999885559082,0.33500000834465027,1.843999981880188,2.2269999980926514
2022-03-04,1.63100004196167,0.3050000071525574,1.7239999771118164,2.1510000228881836
2022-03-07,1.690999984741211,0.3050000071525574,1.7510000467300415,2.1519999504089355
2022-03-08,1.805999994277954,0.36000001430511475,1.871999979019165,2.24399995803833
2022-03-09,1.8799999952316284,0.3700000047683716,1.9479999542236328,2.302000045776367
2022-03-10,1.940999984741211,0.36000001430511475,2.010999917984009,2.3940000534057617
2022-03-11,1.9600000381469727,0.36500000953674316,2.003999948501587,2.364000082015991
2022-03-14,2.0920000076293945,0.3779999911785126,2.140000104904175,2.4760000705718994
2022-03-15,2.114000082015991,0.4480000138282776,2.1600000858306885,2.505000114440918
2022-03-16,2.197999954223633,0.43299999833106995,2.187999963760376,2.4590001106262207
2022-03-17,2.1679999828338623,0.36000001430511475,2.191999912261963,2.484999895095825
2022-03-18,2.1429998874664307,0.382999986410141,2.1480000019073486,2.4179999828338623
2022-03-21,2.3399999141693115,0.45500001311302185,2.315000057220459,2.5339999198913574
2022-03-22,2.385999917984009,0.5199999809265137,2.372999906539917,2.5929999351501465
2022-03-23,2.3399999141693115,0.47999998927116394,2.321000099182129,2.5190000534057617
2022-03-24,2.372999906539917,0.4830000102519989,2.3410000801086426,2.510999917984009
2022-03-25,2.572999954223633,0.5199999809265137,2.492000102996826,2.6029999256134033
2022-03-28,2.565000057220459,0.5080000162124634,2.4769999980926514,2.572999954223633
2022-03-29,2.484999895095825,0.5550000071525574,2.4000000953674316,2.5239999294281006
2022-03-30,2.447999954223633,0.5249999761581421,2.3580000400543213,2.4800000190734863
2022-03-31,2.421999931335449,0.49300000071525574,2.3269999027252197,2.447999954223633
2022-04-01,2.5490000247955322,0.5,2.377000093460083,2.4240000247955322
2022-04-04,2.555000066757202,0.5379999876022339,2.4119999408721924,2.4739999771118164
2022-04-05,2.696000099182129,0.6679999828338623,2.555999994277954,2.5840001106262207
2022-04-06,2.7019999027252197,0.6629999876022339,2.6089999675750732,2.631999969482422
2022-04-07,2.690999984741211,0.6600000262260437,2.6519999504089355,2.687000036239624
2022-04-08,2.75600004196167,0.6679999828338623,2.7130000591278076,2.746000051498413
2022-04-11,2.7850000858306885,0.6800000071525574,2.7799999713897705,2.819999933242798
2022-04-12,2.6760001182556152,0.7379999756813049,2.7249999046325684,2.8259999752044678
2022-04-13,2.6419999599456787,0.7400000095367432,2.687000036239624,2.7939999103546143
2022-04-14,2.7860000133514404,0.7480000257492065,2.828000068664551,2.9189999103546143
2022-04-18,2.7960000038146973,0.7549999952316284,2.861999988555908,2.953000068664551
2022-04-19,2.8889999389648438,0.8330000042915344,2.9130001068115234,2.990000009536743
2022-04-20,2.859999895095825,0.7950000166893005,2.8399999141693115,2.878999948501587
