Date,SPY,^SPX
2019-01-02,223.80592346191406,2510.030029296875
2019-01-03,218.46531677246094,2447.889892578125
2019-01-04,225.78298950195312,2531.93994140625
2019-01-07,227.56320190429688,2549.68994140625
2019-01-08,229.7012176513672,2574.409912109375
2019-01-09,230.7747344970703,2584.9599609375
2019-01-10,231.5888214111328,2596.639892578125
2019-01-11,231.6782684326172,2596.260009765625
2019-01-14,230.26480102539062,2582.610107421875
2019-01-15,232.9038543701172,2610.300048828125
2019-01-16,233.46734619140625,2616.10009765625
2019-01-17,235.2387237548828,2635.9599609375
2019-01-18,238.36972045898438,2670.7099609375
2019-01-22,235.14920043945312,2632.89990234375
2019-01-23,235.64132690429688,2638.699951171875
2019-01-24,235.76646423339844,2642.330078125
2019-01-25,237.76141357421875,2664.760009765625
2019-01-28,235.95431518554688,2643.85009765625
2019-01-29,235.64132690429688,2640.0
2019-01-30,239.37161254882812,2681.050048828125
2019-01-31,241.473876953125,2704.10009765625
2019-02-01,241.59024047851562,2706.530029296875
2019-02-04,243.2898712158203,2724.8701171875
2019-02-05,244.30970764160156,2737.699951171875
2019-02-06,243.98770141601562,2731.610107421875
2019-02-07,241.6618194580078,2706.050048828125
2019-02-08,241.95693969726562,2707.8798828125
2019-02-11,242.09117126464844,2709.800048828125
2019-02-12,245.2042999267578,2744.72998046875
2019-02-13,246.00042724609375,2753.030029296875
2019-02-14,245.454833984375,2745.72998046875
2019-02-15,248.12954711914062,2775.60009765625
2019-02-19,248.5590057373047,2779.760009765625
2019-02-20,249.0599365234375,2784.699951171875
2019-02-21,248.17428588867188,2774.8798828125
2019-02-22,249.7130126953125,2792.669921875
2019-02-25,250.05288696289062,2796.110107421875
2019-02-26,249.87403869628906,2793.89990234375
2019-02-27,249.76661682128906,2792.3798828125
2019-02-28,249.3014373779297,2784.489990234375
2019-03-01,250.8581085205078,2803.68994140625
2019-03-04,249.94558715820312,2792.81005859375
2019-03-05,249.6056365966797,2789.64990234375
2019-03-06,248.09376525878906,2771.449951171875
2019-03-07,246.0183868408203,2748.929931640625
2019-03-08,245.52639770507812,2743.070068359375
2019-03-11,249.08682250976562,2783.300048828125
2019-03-12,250.02606201171875,2791.52001953125
2019-03-13,251.6811981201172,2810.919921875
2019-03-14,251.52001953125,2808.47998046875
2019-03-15,252.76266479492188,2822.47998046875
2019-03-18,253.67918395996094,2832.93994140625
2019-03-19,253.74205017089844,2832.570068359375
2019-03-20,252.97830200195312,2824.22998046875
2019-03-21,255.83558654785156,2854.8798828125
2019-03-22,250.9117889404297,2800.7099609375
2019-03-25,250.72311401367188,2798.360107421875
2019-03-26,252.5919647216797,2818.4599609375
2019-03-27,251.2711639404297,2805.3701171875
2019-03-28,252.2235870361328,2815.43994140625
2019-03-29,253.81399536132812,2834.39990234375
2019-04-01,256.8239440917969,2867.18994140625
2019-04-02,256.94976806640625,2867.239990234375
2019-04-03,257.35418701171875,2873.39990234375
2019-04-04,258.0369873046875,2879.389892578125
2019-04-05,259.2859191894531,2892.739990234375
2019-04-08,259.4836120605469,2895.77001953125
2019-04-09,258.1537780761719,2878.199951171875
2019-04-10,259.0343933105469,2888.2099609375
2019-04-11,258.96246337890625,2888.320068359375
2019-04-12,260.7146301269531,2907.409912109375
2019-04-15,260.5439453125,2905.580078125
2019-04-16,260.7146301269531,2907.06005859375
2019-04-17,260.0766906738281,2900.449951171875
2019-04-18,260.5888366699219,2905.030029296875
2019-04-22,260.8134765625,2907.969970703125
2019-04-23,263.1585998535156,2933.679931640625
2019-04-24,262.5744934082031,2927.25
2019-04-25,262.41278076171875,2926.169921875
2019-04-26,263.6348876953125,2939.8798828125
2019-04-29,264.0481262207031,2943.030029296875
2019-04-30,264.1828918457031,2945.830078125
2019-05-01,262.19720458984375,2923.72998046875
2019-05-02,261.631103515625,2917.52001953125
2019-05-03,264.19189453125,2945.639892578125
2019-05-06,263.1045837402344,2932.469970703125
2019-05-07,258.7109375,2884.050048828125
2019-05-08,258.3514709472656,2879.419921875
2019-05-09,257.56976318359375,2870.719970703125
2019-05-10,258.86370849609375,2881.39990234375
2019-05-13,252.3583984375,2811.8701171875
2019-05-14,254.6405792236328,2834.409912109375
2019-05-15,256.1321105957031,2850.9599609375
2019-05-16,258.5042419433594,2876.320068359375
2019-05-17,256.83294677734375,2859.530029296875
2019-05-20,255.1348419189453,2840.22998046875
2019-05-21,257.4350891113281,2864.360107421875
2019-05-22,256.6441650390625,2856.27001953125
2019-05-23,253.50851440429688,2822.239990234375
2019-05-24,254.0834503173828,2826.06005859375
2019-05-28,251.72044372558594,2802.389892578125
2019-05-29,250.0312957763672,2783.02001953125
2019-05-30,250.714111328125,2788.860107421875
2019-05-31,247.3355712890625,2752.06005859375
2019-06-03,246.70669555664062,2744.449951171875
2019-06-04,252.06185913085938,2803.27001953125
2019-06-05,254.24525451660156,2826.14990234375
2019-06-06,255.89857482910156,2843.489990234375
2019-06-07,258.4593811035156,2873.340087890625
2019-06-10,259.6453857421875,2886.72998046875
2019-06-11,259.58245849609375,2885.719970703125
2019-06-12,259.1242370605469,2879.840087890625
2019-06-13,260.1933288574219,2891.639892578125
2019-06-14,259.9059753417969,2886.97998046875
2019-06-17,260.0047912597656,2889.669921875
2019-06-18,262.7272033691406,2917.75
2019-06-19,263.3202819824219,2926.4599609375
2019-06-20,265.836181640625,2954.179931640625
2019-06-21,265.44970703125,2950.4599609375
2019-06-24,265.1247253417969,2945.35009765625
2019-06-25,262.5242614746094,2917.3798828125
2019-06-26,262.2625427246094,2913.780029296875
2019-06-27,263.1925354003906,2924.919921875
2019-06-28,264.54681396484375,2941.760009765625
2019-07-01,266.9485778808594,2964.330078125
2019-07-02,267.64373779296875,2973.010009765625
2019-07-03,269.7835693359375,2995.820068359375
2019-07-05,269.47662353515625,2990.409912109375
2019-07-08,267.995849609375,2975.949951171875
2019-07-09,268.3299865722656,2979.6298828125
2019-07-10,269.61212158203125,2993.070068359375
2019-07-11,270.2441101074219,2999.909912109375
2019-07-12,271.45404052734375,3013.77001953125
2019-07-15,271.5442199707031,3014.300048828125
2019-07-16,270.66851806640625,3004.0400390625
2019-07-17,268.8265380859375,2984.419921875
2019-07-18,269.8106689453125,2995.110107421875
2019-07-19,268.31195068359375,2976.610107421875
2019-07-22,268.9709777832031,2985.030029296875
2019-07-23,270.8941345214844,3005.469970703125
2019-07-24,272.167236328125,3019.56005859375
2019-07-25,270.8670349121094,3003.669921875
2019-07-26,272.681884765625,3025.860107421875
2019-07-29,272.1852722167969,3020.969970703125
2019-07-30,271.5170593261719,3013.179931640625
2019-07-31,268.5466613769531,2980.3798828125
2019-08-01,266.2081604003906,2953.56005859375
2019-08-02,264.2037048339844,2932.050048828125
2019-08-05,256.2582702636719,2844.739990234375
2019-08-06,259.8517761230469,2881.77001953125
2019-08-07,260.00531005859375,2883.97998046875
2019-08-08,265.10662841796875,2938.090087890625
2019-08-09,263.3009033203125,2918.64990234375
2019-08-12,260.0956115722656,2882.699951171875
2019-08-13,264.14056396484375,2926.320068359375
2019-08-14,256.3305358886719,2840.60009765625
2019-08-15,257.0076904296875,2847.60009765625
2019-08-16,260.7998962402344,2888.679931640625
2019-08-19,263.94189453125,2923.64990234375
2019-08-20,261.9194030761719,2900.510009765625
2019-08-21,264.05023193359375,2924.429931640625
2019-08-22,263.9690246582031,2922.949951171875
2019-08-23,257.18829345703125,2847.110107421875
2019-08-26,260.03240966796875,2878.3798828125
2019-08-27,259.0120544433594,2869.159912109375
2019-08-28,260.8359680175781,2887.93994140625
2019-08-29,264.1676940917969,2924.580078125
2019-08-30,264.05023193359375,2926.4599609375
2019-09-03,262.5062255859375,2906.27001953125
2019-09-04,265.48590087890625,2937.780029296875
2019-09-05,268.8988037109375,2976.0
2019-09-06,269.1064147949219,2978.7099609375
2019-09-09,269.2418212890625,2978.429931640625
2019-09-10,269.17864990234375,2979.389892578125
2019-09-11,271.0927734375,3000.929931640625
2019-09-12,272.03173828125,3009.570068359375
2019-09-13,271.8511962890625,3007.389892578125
2019-09-16,271.01153564453125,2997.9599609375
2019-09-17,271.69781494140625,3005.699951171875
2019-09-18,271.8602294921875,3006.72998046875
2019-09-19,271.8422546386719,3006.7900390625
2019-09-20,270.5578308105469,2992.070068359375
2019-09-23,270.49432373046875,2991.780029296875
2019-09-24,268.371826171875,2966.60009765625
2019-09-25,269.9590759277344,2984.8701171875
2019-09-26,269.39678955078125,2977.6201171875
2019-09-27,267.9454345703125,2961.7900390625
2019-09-30,269.1880798339844,2976.739990234375
2019-10-01,265.9862365722656,2940.25
