Date,XLF,XLK
2007-01-03,20.48430633544922,9.059591293334961
2007-01-04,20.417726516723633,9.199387550354004
2007-01-05,20.256832122802734,9.125605583190918
2007-01-08,20.345603942871094,9.152788162231445
2007-01-09,20.31231117248535,9.164438247680664
2007-01-10,20.378890991210938,9.211037635803223
2007-01-11,20.506492614746094,9.30423355102539
2007-01-12,20.528688430786133,9.327534675598145
2007-01-16,20.584182739257812,9.308116912841797
2007-01-17,20.528688430786133,9.187734603881836
2007-01-18,20.445466995239258,9.082891464233398
2007-01-19,20.506492614746094,9.07900333404541
2007-01-22,20.48985481262207,9.01298999786377
2007-01-23,20.478757858276367,9.01298999786377
2007-01-24,20.689599990844727,9.17608642578125
2007-01-25,20.389982223510742,9.063471794128418
2007-01-26,20.428823471069336,9.067355155944824
2007-01-29,20.328956604003906,9.10619068145752
2007-01-30,20.406627655029297,9.160555839538574
2007-01-31,20.573078155517578,9.214919090270996
2007-02-01,20.70623779296875,9.17608642578125
2007-02-02,20.74507713317871,9.222686767578125
2007-02-05,20.739530563354492,9.199387550354004
2007-02-06,20.833847045898438,9.187734603881836
2007-02-07,20.911527633666992,9.230453491210938
2007-02-08,20.844955444335938,9.242101669311523
2007-02-09,20.623010635375977,9.141136169433594
2007-02-12,20.573078155517578,9.10230541229248
2007-02-13,20.722888946533203,9.13725471496582
2007-02-14,20.92262077331543,9.265398025512695
2007-02-15,20.95590591430664,9.300347328186035
2007-02-16,20.950361251831055,9.280933380126953
2007-02-20,21.061330795288086,9.284815788269043
2007-02-21,20.97255516052246,9.269286155700684
2007-02-22,20.889333724975586,9.319769859313965
2007-02-23,20.695138931274414,9.311999320983887
2007-02-26,20.545345306396484,9.288702011108398
2007-02-27,19.585477828979492,8.93144416809082
2007-02-28,19.946117401123047,8.966397285461426
2007-03-01,19.92392921447754,8.958623886108398
2007-03-02,19.696449279785156,8.791648864746094
2007-03-05,19.385740280151367,8.81106185913086
2007-03-06,19.790769577026367,8.946977615356445
2007-03-07,19.674259185791016,8.83436393737793
2007-03-08,19.851797103881836,8.908143997192383
2007-03-09,19.90174102783203,8.93144416809082
2007-03-12,19.90174102783203,8.985811233520508
2007-03-13,19.308067321777344,8.842129707336426
2007-03-14,19.352449417114258,8.923674583435059
2007-03-15,19.585477828979492,8.927560806274414
2007-03-16,19.51194190979004,8.912028312683105
2007-03-19,19.64008140563965,8.970274925231934
2007-03-20,19.818376541137695,9.02852725982666
2007-03-21,20.26967430114746,9.211037635803223
2007-03-22,20.147109985351562,9.17608642578125
2007-03-23,20.169389724731445,9.152788162231445
