Date,EWA,EWC,EWG,EWJ,EWU
2015-01-02,13.699926376342773,22.659915924072266,20.619781494140625,36.17380905151367,22.935693740844727
2015-01-05,13.569746971130371,22.051755905151367,19.90172004699707,35.75617599487305,22.357812881469727
2015-01-06,13.513956069946289,21.727924346923828,19.818572998046875,35.17789840698242,22.100971221923828
2015-01-07,13.637941360473633,21.751625061035156,19.984861373901367,35.691917419433594,22.293603897094727
2015-01-08,13.817715644836426,22.020164489746094,20.3627872467041,36.141685485839844,22.691696166992188
2015-01-09,13.947894096374512,21.83060646057129,20.219179153442383,35.75617599487305,22.58896255493164
2015-01-12,13.786717414855957,21.48308563232422,20.34011459350586,35.62765884399414,22.499073028564453
2015-01-13,13.786717414855957,21.3883056640625,20.430816650390625,35.916812896728516,22.563276290893555
2015-01-14,13.600746154785156,21.25403594970703,20.483726501464844,35.85255432128906,22.357812881469727
2015-01-15,13.6813325881958,21.13556671142578,20.445938110351562,36.109554290771484,22.486230850219727
2015-01-16,13.836307525634766,21.530473709106445,20.929683685302734,36.430816650390625,22.84580421447754
2015-01-20,13.656536102294922,21.27773094177246,20.914562225341797,36.71995162963867,23.051271438598633
2015-01-21,13.780515670776367,21.340919494628906,21.05061912536621,36.784202575683594,23.282426834106445
2015-01-22,13.774317741394043,21.522579193115234,21.01282501220703,36.94483947753906,23.487897872924805
2015-01-23,13.637941360473633,21.530473709106445,20.98259162902832,36.81632614135742,23.3723201751709
2015-01-26,13.687530517578125,21.475187301635742,21.496578216552734,37.23396301269531,23.719053268432617
2015-01-27,13.71233081817627,21.633153915405273,21.322725296020508,37.2982177734375,23.73189353942871
2015-01-28,13.637941360473633,21.088176727294922,21.043058395385742,37.23396301269531,23.43653106689453
2015-01-29,13.668932914733887,20.993396759033203,21.572162628173828,37.55522537231445,23.59063148498535
2015-01-30,13.588346481323242,20.882823944091797,21.201791763305664,36.91271209716797,23.166854858398438
2015-02-02,13.867304801940918,21.435693740844727,21.670419692993164,37.2982177734375,23.3723201751709
2015-02-03,14.164860725402832,22.012264251708984,22.086145401000977,37.23396301269531,23.950204849243164
2015-02-04,14.090471267700195,21.601558685302734,21.72332763671875,37.42673110961914,23.73189353942871
2015-02-05,14.34463119506836,22.028060913085938,22.055908203125,37.747982025146484,24.091468811035156
2015-02-06,14.251644134521484,21.80691146850586,21.496578216552734,37.42673110961914,23.834630966186523
2015-02-09,14.23304557800293,21.956981658935547,21.247142791748047,37.07333755493164,23.77042007446289
2015-02-10,14.226852416992188,21.799015045166016,21.504133224487305,37.55522537231445,23.860315322875977
2015-02-11,14.016084671020508,21.735824584960938,21.42854881286621,37.619468688964844,23.744735717773438
2015-02-12,14.10287094116211,22.09914207458496,22.071027755737305,37.87648010253906,24.16852378845215
2015-02-13,14.400425910949707,22.178125381469727,22.06346893310547,38.32624816894531,24.28409767150879
2015-02-17,14.493408203125,22.40717124938965,21.957645416259766,38.29412841796875,24.27126121520996
2015-02-18,14.56159782409668,22.16233253479004,22.018115997314453,38.9687614440918,24.386831283569336
2015-02-19,14.49960994720459,21.980670928955078,21.995439529418945,39.257896423339844,24.361148834228516
2015-02-20,14.580196380615234,21.885896682739258,22.29778289794922,39.61128616333008,24.515254974365234
2015-02-23,14.543001174926758,21.885896682739258,22.237314224243164,39.38640213012695,24.46388816833496
2015-02-24,14.679381370544434,22.012264251708984,22.418716430664062,39.579158782958984,24.630834579467773
2015-02-25,14.778570175170898,22.23341178894043,22.426284790039062,39.48278045654297,24.6436710357666
2015-02-26,14.580196380615234,22.08334732055664,22.358253479003906,39.836158752441406,24.553787231445312
2015-02-27,14.679381370544434,22.130739212036133,22.448955535888672,39.675533294677734,24.528095245361328
2015-03-02,14.691779136657715,22.138633728027344,22.539657592773438,39.77191162109375,24.56662368774414
2015-03-03,14.697975158691406,22.012264251708984,22.29022216796875,39.579158782958984,24.33547019958496
2015-03-04,14.617389678955078,22.028060913085938,22.237314224243164,39.38640213012695,24.21988296508789
2015-03-05,14.543001174926758,21.9174861907959,22.305343627929688,39.61128616333008,24.348308563232422
2015-03-06,14.288837432861328,21.538372039794922,21.950092315673828,39.54704666137695,23.80894660949707
2015-03-09,14.288837432861328,21.451494216918945,22.1466121673584,39.41852951049805,23.924524307250977
2015-03-10,13.960293769836426,21.00129508972168,21.66286277770996,38.84026336669922,23.26958656311035
2015-03-11,13.923095703125,21.00919532775879,21.927413940429688,39.19364547729492,23.089794158935547
2015-03-12,14.326035499572754,21.159257888793945,22.12393569946289,40.06105422973633,23.218219757080078
2015-03-13,14.047074317932129,20.97760581970215,22.06346893310547,40.093177795410156,22.974218368530273
2015-03-16,14.171058654785156,21.246139526367188,22.6227970123291,40.25379943847656,23.218219757080078
2015-03-17,14.127665519714355,21.26982879638672,22.373369216918945,40.35018539428711,23.256750106811523
2015-03-18,14.549198150634766,21.727924346923828,22.63791847229004,40.992698669433594,23.93736457824707
2015-03-19,14.40662670135498,21.20665168762207,22.27510643005371,40.51081085205078,23.616315841674805
2015-03-20,14.83436107635498,21.680540084838867,22.872238159179688,41.1533317565918,24.16852378845215
2015-03-23,14.939742088317871,21.79111671447754,22.834442138671875,41.34608459472656,24.207048416137695
2015-03-24,14.945940017700195,21.964879989624023,22.96293830871582,41.24970626831055,23.97589683532715
2015-03-25,14.778570175170898,21.74372673034668,22.834442138671875,41.1533317565918,23.886001586914062
2015-03-26,14.635986328125,21.696338653564453,22.683273315429688,40.7357063293457,23.603477478027344
2015-03-27,14.493408203125,21.380407333374023,22.751298904418945,40.89632797241211,23.55211067199707
2015-03-30,14.338434219360352,21.39620590209961,22.94782257080078,41.05695343017578,23.526424407958984
2015-03-31,14.171058654785156,21.467287063598633,22.55477523803711,40.25379943847656,23.128324508666992
2015-04-01,14.195850372314453,21.562063217163086,22.751298904418945,40.414424896240234,23.282426834106445
2015-04-02,14.245445251464844,21.82270622253418,22.92514419555664,40.7678108215332,23.397998809814453
2015-04-06,14.375627517700195,22.03595733642578,23.14434051513672,41.24970626831055,23.603477478027344
2015-04-07,14.4500150680542,22.114940643310547,22.96293830871582,41.44246292114258,23.693374633789062
2015-04-08,14.60499382019043,22.114940643310547,22.879793167114258,41.506710052490234,23.873153686523438
2015-04-09,14.567798614501953,22.209720611572266,22.864673614501953,41.506710052490234,23.860315322875977
2015-04-10,14.598793029785156,22.312395095825195,23.091434478759766,41.57096862792969,23.924524307250977
2015-04-13,14.350831031799316,22.280803680419922,22.849559783935547,41.28184127807617,23.847475051879883
2015-04-14,14.431421279907227,22.48615837097168,22.95537567138672,41.57096862792969,24.12999725341797
2015-04-15,14.474812507629395,22.928457260131836,22.94782257080078,41.76372146606445,24.322628021240234
2015-04-16,14.704178810119629,23.0311279296875,22.69839096069336,41.86009979248047,24.438199996948242
2015-04-17,14.431421279907227,22.912660598754883,22.214637756347656,41.53884506225586,24.194202423095703
2015-04-20,14.40662670135498,22.999540328979492,22.39604377746582,41.66734313964844,24.245567321777344
2015-04-21,14.36323070526123,22.809982299804688,22.592567443847656,42.309871673583984,24.361148834228516
2015-04-22,14.400425910949707,22.857372283935547,22.471630096435547,42.631126403808594,24.451047897338867
2015-04-23,14.505807876586914,23.15750503540039,22.39604377746582,42.5989990234375,24.61798858642578
2015-04-24,14.83436107635498,23.12590980529785,22.516984939575195,42.7596321105957,24.797773361206055
2015-04-27,14.908745765686035,23.133806228637695,22.89491081237793,42.663238525390625,24.900503158569336
2015-04-28,15.119515419006348,23.299671173095703,22.766416549682617,42.791744232177734,25.016090393066406
2015-04-29,14.759970664978027,23.33126449584961,22.39604377746582,42.40623474121094,24.93903923034668
2015-04-30,14.456216812133789,22.999540328979492,22.38848876953125,41.313961029052734,24.669357299804688
2015-05-01,14.536805152893066,23.01533317565918,22.675708770751953,41.827980041503906,24.682199478149414
2015-05-04,14.512004852294922,23.1653995513916,22.66058921813965,42.020721435546875,24.74641227722168
2015-05-05,14.493408203125,22.904756546020508,22.229761123657227,41.21757507324219,24.348308563232422
2015-05-06,14.245445251464844,22.73099708557129,22.50186538696289,41.18545150756836,24.438199996948242
2015-05-07,14.065677642822266,22.644123077392578,22.464073181152344,41.24970626831055,24.373991012573242
2015-05-08,14.220651626586914,22.849470138549805,22.96293830871582,42.21348571777344,25.23440170288086
2015-05-11,13.960293769836426,22.794189453125,22.683273315429688,41.53884506225586,25.38850212097168
2015-05-12,14.295039176940918,22.778390884399414,22.55477523803711,41.53884506225586,25.183034896850586
2015-05-13,14.592598915100098,22.75469207763672,22.50186538696289,41.79584503173828,25.311450958251953
2015-05-14,14.697975158691406,22.786287307739258,23.08387565612793,42.020721435546875,25.555456161499023
2015-05-15,14.691779136657715,22.849470138549805,23.023405075073242,42.21348571777344,25.47840118408203
2015-05-18,14.400425910949707,22.675710678100586,23.023405075073242,42.566871643066406,25.337135314941406
2015-05-19,14.127665519714355,22.49405288696289,23.08387565612793,42.5989990234375,25.144506454467773
2015-05-20,14.065677642822266,22.478254318237305,23.05364227294922,42.5989990234375,25.298616409301758
2015-05-21,14.214451789855957,22.659915924072266,23.11410903930664,42.7596321105957,25.555456161499023
2015-05-22,14.090471267700195,22.49405288696289,22.811767578125,42.663238525390625,25.298616409301758
2015-05-26,14.10906982421875,22.03595733642578,22.184406280517578,42.117103576660156,24.861982345581055
2015-05-27,14.115266799926758,22.067554473876953,22.471630096435547,42.40623474121094,25.054615020751953
2015-05-28,13.923095703125,22.107038497924805,22.403602600097656,42.309871673583984,25.028928756713867
2015-05-29,13.972688674926758,21.941184997558594,22.00299644470215,41.924346923828125,24.823463439941406
2015-06-01,13.867304801940918,21.870098114013672,21.934972763061523,42.117103576660156,24.56662368774414
2015-06-02,13.923095703125,22.09914207458496,22.131494522094727,42.020721435546875,24.669357299804688
2015-06-03,13.817715644836426,22.122838973999023,22.47918701171875,42.181365966796875,24.682199478149414
2015-06-04,13.396178245544434,21.838502883911133,22.191965103149414,41.89222717285156,24.438199996948242
2015-06-05,13.32178783416748,21.87799644470215,21.783802032470703,41.63521194458008,24.21988296508789
2015-06-08,13.377583503723145,21.601558685302734,21.761127471923828,41.410335540771484,24.181365966796875
2015-06-09,13.32178783416748,21.814807891845703,21.647747039794922,40.992698669433594,24.05294418334961
2015-06-10,13.619343757629395,22.059656143188477,22.3431339263916,41.66734313964844,24.656518936157227
2015-06-11,13.71233081817627,22.012264251708984,22.3355770111084,41.86009979248047,24.707883834838867
2015-06-12,13.58215045928955,21.767419815063477,22.071027755737305,41.63521194458008,24.56662368774414
2015-06-15,13.65034008026123,21.79111671447754,21.7686824798584,41.76372146606445,24.425357818603516
2015-06-16,13.74952507019043,21.814807891845703,21.7686824798584,41.57096862792969,24.438199996948242
2015-06-17,13.780515670776367,21.901687622070312,21.68553924560547,41.21757507324219,24.59230613708496
2015-06-18,13.830108642578125,21.964879989624023,22.12393569946289,41.24970626831055,24.8363037109375
2015-06-19,13.848706245422363,21.696338653564453,21.90473747253418,41.28184127807617,24.707883834838867
2015-06-22,13.873501777648926,21.854299545288086,22.653038024902344,41.924346923828125,24.99040412902832
2015-06-23,14.009883880615234,21.9964656829834,22.600126266479492,42.40623474121094,25.00324249267578
2015-06-24,13.947894096374512,21.941184997558594,22.3431339263916,41.956478118896484,24.887666702270508
2015-06-25,13.871708869934082,21.966651916503906,22.432342529296875,42.040428161621094,24.870670318603516
2015-06-26,13.611416816711426,21.910940170288086,22.524625778198242,42.234169006347656,24.713762283325195
2015-06-29,13.268590927124023,21.290142059326172,21.61717987060547,41.16862487792969,23.994571685791016
2015-06-30,13.35112476348877,21.22646713256836,21.4403018951416,41.362361907958984,23.863815307617188
2015-07-01,13.497142791748047,21.1389217376709,21.62487030029297,41.65296936035156,23.916118621826172
2015-07-02,13.579675674438477,21.25034523010254,21.555660247802734,41.65296936035156,24.033802032470703
2015-07-06,13.198759078979492,21.01953887939453,21.025033950805664,41.362361907958984,23.66767120361328
2015-07-07,13.230500221252441,20.97178077697754,21.09424591064453,41.459224700927734,23.471532821655273
2015-07-08,12.85593032836914,20.61362648010254,20.771257400512695,39.74790954589844,23.053096771240234
2015-07-09,12.976555824279785,20.510162353515625,21.1788387298584,40.232242584228516,23.393070220947266
2015-07-10,13.141619682312012,20.725055694580078,22.21701431274414,40.878021240234375,24.086105346679688
2015-07-13,13.147964477539062,20.8205623626709,22.14011573791504,41.42693328857422,24.229944229125977
2015-07-14,13.300336837768555,20.900150299072266,22.209325790405273,41.68524932861328,24.517616271972656
2015-07-15,13.268590927124023,20.725055694580078,22.124736785888672,41.65296936035156,24.465312957763672
2015-07-16,13.42730712890625,20.748929977416992,22.301607131958008,41.81439971923828,24.609146118164062
2015-07-17,13.357471466064453,20.61362648010254,22.193944931030273,41.91127395629883,24.556846618652344
2015-07-20,13.446353912353516,20.327112197875977,22.301607131958008,41.91127395629883,24.569923400878906
2015-07-21,13.478097915649414,20.295270919799805,22.21701431274414,41.78211212158203,24.413013458251953
2015-07-22,13.211453437805176,20.104259490966797,22.063213348388672,41.588382720947266,24.216867446899414
2015-07-23,13.052736282348633,20.000791549682617,22.040142059326172,41.556095123291016,23.903045654296875
2015-07-24,12.836886405944824,19.92120933532715,21.72484016418457,41.16862487792969,23.576143264770508
2015-07-27,12.868629455566406,19.698352813720703,21.4787540435791,41.00717544555664,23.471532821655273
2015-07-28,13.160666465759277,20.000791549682617,21.717151641845703,41.20090866088867,23.850740432739258
2015-07-29,13.198759078979492,20.295270919799805,21.70176887512207,41.362361907958984,24.033802032470703
2015-07-30,13.236848831176758,20.31914710998535,21.57872772216797,41.42693328857422,24.177637100219727
2015-07-31,13.281288146972656,20.33506965637207,21.786367416381836,41.74982833862305,24.24302101135254
2015-08-03,13.167013168334961,20.088340759277344,21.940170288085938,41.588382720947266,24.09918212890625
2015-08-04,13.389212608337402,20.215682983398438,21.932479858398438,41.523799896240234,24.203786849975586
2015-08-05,13.357471466064453,20.22364044189453,22.178564071655273,41.78211212158203,24.3737735748291
2015-08-06,13.02734375,20.207727432250977,22.186254501342773,41.65296936035156,24.308399200439453
2015-08-07,12.913069725036621,20.024669647216797,22.11704444885254,41.78211212158203,24.24302101135254
2015-08-10,13.109875679016113,20.438535690307617,22.40926742553711,42.39561462402344,24.426082611083984
2015-08-11,12.659125328063965,20.183849334716797,21.901716232299805,41.65296936035156,24.138410568237305
2015-08-12,12.665473937988281,20.271392822265625,21.671009063720703,41.39464569091797,24.046876907348633
2015-08-13,12.627382278442383,20.016706466674805,21.54027557373047,41.7175407409668,23.92919921875
2015-08-14,12.608339309692383,20.024669647216797,21.58641815185547,41.7175407409668,24.033802032470703
2015-08-17,12.652776718139648,19.99283218383789,21.386470794677734,41.81439971923828,23.88996696472168
2015-08-18,12.506758689880371,19.929157257080078,21.148075103759766,41.523799896240234,23.8245792388916
2015-08-19,12.6019868850708,19.626720428466797,20.925060272216797,41.07175064086914,23.445377349853516
2015-08-20,12.240120887756348,19.22081756591797,20.348291397094727,39.84476852416992,23.10540199279785
2015-08-21,11.948081016540527,18.711444854736328,20.002235412597656,38.488624572753906,22.46467399597168
2015-08-24,11.008487701416016,18.026975631713867,19.710004806518555,37.13248062133789,21.627805709838867
2015-08-25,11.662394523620605,18.08268928527832,19.848434448242188,37.35850143432617,21.70626449584961
2015-08-26,11.986170768737793,18.464717864990234,20.36367416381836,38.843807220458984,21.967784881591797
2015-08-27,12.22107219696045,19.133268356323242,20.486717224121094,39.554168701171875,22.320844650268555
2015-08-28,12.157588005065918,19.2606143951416,20.271392822265625,39.74790954589844,22.425447463989258
2015-08-31,11.840154647827148,19.31632423400879,20.256013870239258,39.13440704345703,22.307762145996094
2015-09-01,11.29417610168457,18.7034854888916,19.76384162902832,37.35850143432617,21.470895767211914
2015-09-02,11.548118591308594,18.743284225463867,20.032995223999023,38.03657531738281,21.876249313354492
2015-09-03,11.389405250549316,18.894500732421875,20.09451675415039,38.327171325683594,21.889324188232422
2015-09-04,11.135459899902344,18.600021362304688,19.67155647277832,37.100196838378906,21.37936782836914
2015-09-08,11.643349647521973,18.918378829956055,20.379058837890625,37.97200012207031,22.137771606445312
2015-09-09,11.605257987976074,18.751243591308594,20.086828231811523,37.90742492675781,22.033166885375977
2015-09-10,11.656047821044922,18.838788986206055,20.36367416381836,37.87512969970703,22.22930335998535
2015-09-11,11.63700008392334,18.655733108520508,20.36367416381836,37.90742492675781,22.163923263549805
2015-09-14,11.706833839416504,18.504514694213867,20.263702392578125,37.810550689697266,21.915481567382812
2015-09-15,11.694136619567871,18.655733108520508,20.355981826782227,38.101158142089844,22.085468292236328
2015-09-16,11.998869895935059,19.228776931762695,20.432886123657227,38.42405319213867,22.59543800354004
2015-09-17,11.878246307373047,19.22081756591797,20.56361961364746,38.39176940917969,22.46467399597168
2015-09-18,11.814763069152832,18.974088668823242,19.809978485107422,37.16477584838867,22.0723934173584
2015-09-21,11.71318244934082,19.069597244262695,19.66386604309082,37.39080047607422,22.085468292236328
2015-09-22,11.554468154907227,18.600021362304688,18.91791534423828,36.841888427734375,21.392440795898438
2015-09-23,11.31956958770752,18.3453369140625,18.92560577392578,36.841888427734375,21.392440795898438
2015-09-24,11.490984916687012,18.33737564086914,18.88715171813965,36.58357238769531,21.405515670776367
2015-09-25,11.42114543914795,18.369213104248047,18.994815826416016,37.487667083740234,21.5231990814209
2015-09-28,11.24338436126709,17.764331817626953,18.71027946472168,36.58357238769531,20.960927963256836
2015-09-29,11.103717803955078,17.772293090820312,18.779495239257812,36.13152313232422,20.947853088378906
2015-09-30,11.376705169677734,18.3055419921875,19.02558135986328,36.90646743774414,21.431669235229492
2015-10-01,11.471935272216797,18.3055419921875,18.864086151123047,37.16477584838867,21.51012420654297
2015-10-02,11.586211204528809,18.584104537963867,19.11786460876465,37.61681365966797,22.085468292236328
2015-10-05,11.916340827941895,18.974088668823242,19.448537826538086,38.55320739746094,22.43852424621582
2015-10-06,11.986170768737793,19.19693946838379,19.61003303527832,38.230316162109375,22.477750778198242
2015-10-07,12.176630973815918,19.491418838500977,19.848434448242188,38.843807220458984,22.85695457458496
2015-10-08,12.354392051696777,19.722230911254883,20.025304794311523,38.97296142578125,23.10540199279785
2015-10-09,12.468667030334473,19.83365249633789,20.194488525390625,39.06983184814453,22.98771858215332
2015-10-12,12.42422866821289,19.658559799194336,20.179109573364258,39.13440704345703,22.896183013916016
2015-10-13,12.157588005065918,19.491418838500977,19.994543075561523,38.71465301513672,22.490829467773438
2015-10-14,12.227417945861816,19.722230911254883,20.032995223999023,38.262603759765625,22.68697166442871
2015-10-15,12.45596981048584,19.762025833129883,20.271392822265625,39.23128128051758,23.11847686767578
2015-10-16,12.42422866821289,19.698352813720703,20.179109573364258,39.425010681152344,23.066173553466797
